a,a_cls,b,b_cls,hamming
benign (114),benign,benign (116),benign,4
benign (119),benign,benign (122),benign,4
benign (105),benign,benign (156),benign,2
benign (139),benign,benign (157),benign,0
benign (110),benign,benign (158),benign,5
benign (151),benign,benign (16),benign,2
benign (152),benign,benign (18),benign,0
benign (150),benign,benign (19),benign,4
benign (236),benign,benign (247),benign,3
benign (199),benign,benign (248),benign,4
benign (204),benign,benign (249),benign,2
benign (153),benign,benign (25),benign,4
benign (227),benign,benign (250),benign,4
benign (244),benign,benign (251),benign,4
benign (230),benign,benign (252),benign,2
benign (213),benign,benign (253),benign,4
benign (211),benign,benign (254),benign,2
benign (240),benign,benign (255),benign,5
benign (207),benign,benign (256),benign,4
benign (223),benign,benign (257),benign,4
benign (239),benign,benign (258),benign,2
benign (229),benign,benign (259),benign,4
benign (214),benign,benign (260),benign,4
benign (234),benign,benign (261),benign,2
benign (205),benign,benign (262),benign,6
benign (226),benign,benign (263),benign,0
benign (237),benign,benign (264),benign,4
benign (216),benign,benign (265),benign,2
benign (241),benign,benign (266),benign,1
benign (222),benign,benign (267),benign,4
benign (217),benign,benign (268),benign,0
benign (215),benign,benign (270),benign,0
benign (220),benign,benign (271),benign,4
benign (219),benign,benign (272),benign,5
benign (203),benign,benign (273),benign,2
benign (200),benign,benign (274),benign,2
benign (209),benign,benign (275),benign,4
benign (232),benign,benign (276),benign,2
benign (240),benign,benign (277),benign,2
benign (255),benign,benign (277),benign,3
benign (226),benign,benign (278),benign,2
benign (263),benign,benign (278),benign,2
benign (241),benign,benign (279),benign,1
benign (266),benign,benign (279),benign,0
benign (229),benign,benign (280),benign,6
benign (259),benign,benign (280),benign,2
benign (214),benign,benign (281),benign,4
benign (260),benign,benign (281),benign,0
benign (204),benign,benign (282),benign,4
benign (249),benign,benign (282),benign,2
benign (284),benign,benign (285),benign,2
benign (232),benign,benign (287),benign,2
benign (276),benign,benign (287),benign,4
benign (242),benign,benign (288),benign,2
benign (203),benign,benign (289),benign,0
benign (273),benign,benign (289),benign,2
benign (200),benign,benign (290),benign,2
benign (274),benign,benign (290),benign,0
benign (208),benign,benign (291),benign,4
benign (225),benign,benign (292),benign,2
benign (225),benign,benign (293),benign,2
benign (292),benign,benign (293),benign,2
benign (235),benign,benign (294),benign,0
benign (231),benign,benign (295),benign,2
benign (218),benign,benign (296),benign,0
benign (209),benign,benign (297),benign,2
benign (275),benign,benign (297),benign,2
benign (210),benign,benign (298),benign,2
benign (233),benign,benign (299),benign,0
benign (128),benign,benign (30),benign,0
benign (238),benign,benign (300),benign,4
benign (202),benign,benign (301),benign,2
benign (201),benign,benign (302),benign,4
benign (206),benign,benign (303),benign,6
benign (224),benign,benign (304),benign,6
benign (245),benign,benign (305),benign,5
benign (228),benign,benign (306),benign,2
benign (1),benign,benign (318),benign,4
benign (2),benign,benign (319),benign,4
benign (3),benign,benign (320),benign,2
benign (10),benign,benign (327),benign,3
benign (11),benign,benign (328),benign,6
benign (12),benign,benign (329),benign,4
benign (130),benign,benign (33),benign,4
benign (13),benign,benign (330),benign,2
benign (14),benign,benign (331),benign,2
benign (15),benign,benign (332),benign,0
benign (177),benign,benign (35),benign,2
benign (127),benign,benign (37),benign,2
benign (132),benign,benign (38),benign,2
benign (321),benign,benign (4),benign,2
benign (395),benign,benign (411),benign,4
benign (400),benign,benign (412),benign,2
benign (396),benign,benign (413),benign,2
benign (307),benign,benign (419),benign,2
benign (131),benign,benign (42),benign,4
benign (312),benign,benign (421),benign,0
benign (309),benign,benign (422),benign,0
benign (310),benign,benign (423),benign,3
benign (308),benign,benign (424),benign,5
benign (17),benign,benign (425),benign,2
benign (316),benign,benign (426),benign,2
benign (129),benign,benign (44),benign,2
benign (322),benign,benign (5),benign,0
benign (136),benign,benign (50),benign,2
benign (133),benign,benign (51),benign,4
benign (134),benign,benign (52),benign,2
benign (135),benign,benign (58),benign,2
benign (323),benign,benign (6),benign,2
benign (138),benign,benign (60),benign,4
benign (139),benign,benign (65),benign,0
benign (157),benign,benign (65),benign,0
benign (324),benign,benign (7),benign,0
benign (325),benign,benign (8),benign,0
benign (197),benign,benign (81),benign,5
benign (164),benign,benign (85),benign,2
benign (163),benign,benign (86),benign,0
benign (326),benign,benign (9),benign,6
benign (108),benign,benign (94),benign,6
benign (61),benign,benign (94),benign,4
benign (155),benign,benign (96),benign,4
benign (139),benign,benign (99),benign,0
benign (157),benign,benign (99),benign,0
benign (65),benign,benign (99),benign,0
malignant (10),malignant,malignant (112),malignant,2
malignant (118),malignant,malignant (119),malignant,4
malignant (110),malignant,malignant (12),malignant,4
malignant (114),malignant,malignant (123),malignant,5
malignant (109),malignant,malignant (13),malignant,3
malignant (114),malignant,malignant (14),malignant,4
malignant (123),malignant,malignant (14),malignant,3
benign (433),benign,malignant (145),malignant,0
malignant (116),malignant,malignant (18),malignant,0
malignant (4),malignant,malignant (5),malignant,2
benign (131),benign,malignant (51),malignant,4
benign (42),benign,malignant (51),malignant,2
benign (164),benign,malignant (52),malignant,4
benign (85),benign,malignant (52),malignant,4
benign (333),benign,malignant (77),malignant,4
malignant (7),malignant,malignant (8),malignant,4
malignant (17),malignant,malignant (88),malignant,3
malignant (7),malignant,malignant (9),malignant,6
malignant (8),malignant,malignant (9),malignant,2
malignant (34),malignant,malignant (92),malignant,5
benign (399),benign,malignant (93),malignant,2
benign (406),benign,malignant (94),malignant,0
malignant (96),malignant,malignant (97),malignant,3
benign (269),benign,normal (1),normal,4
normal (104),normal,normal (107),normal,4
normal (131),normal,normal (19),normal,0
normal (132),normal,normal (20),normal,6
normal (125),normal,normal (22),normal,3
normal (128),normal,normal (24),normal,4
normal (122),normal,normal (25),normal,2
normal (130),normal,normal (26),normal,2
normal (124),normal,normal (27),normal,4
normal (126),normal,normal (28),normal,4
normal (123),normal,normal (29),normal,4
normal (119),normal,normal (30),normal,2
normal (121),normal,normal (31),normal,0
normal (127),normal,normal (32),normal,2
benign (437),benign,normal (34),normal,3
normal (129),normal,normal (35),normal,2
normal (38),normal,normal (43),normal,6
normal (41),normal,normal (44),normal,4
normal (42),normal,normal (45),normal,2
normal (40),normal,normal (46),normal,6
normal (41),normal,normal (47),normal,2
normal (44),normal,normal (47),normal,2
normal (39),normal,normal (48),normal,2
normal (42),normal,normal (49),normal,4
normal (45),normal,normal (49),normal,4
normal (13),normal,normal (5),normal,2
normal (38),normal,normal (50),normal,4
normal (43),normal,normal (50),normal,4
normal (51),normal,normal (52),normal,2
normal (38),normal,normal (53),normal,2
normal (50),normal,normal (53),normal,6
normal (51),normal,normal (54),normal,0
normal (52),normal,normal (54),normal,2
normal (39),normal,normal (56),normal,4
normal (48),normal,normal (56),normal,2
normal (40),normal,normal (59),normal,2
normal (46),normal,normal (59),normal,6
normal (58),normal,normal (60),normal,0
normal (41),normal,normal (61),normal,2
normal (44),normal,normal (61),normal,2
normal (47),normal,normal (61),normal,2
normal (42),normal,normal (62),normal,2
normal (45),normal,normal (62),normal,0
normal (49),normal,normal (62),normal,4
normal (21),normal,normal (63),normal,2
normal (21),normal,normal (64),normal,2
normal (63),normal,normal (64),normal,2
normal (55),normal,normal (67),normal,3
normal (57),normal,normal (67),normal,6
normal (55),normal,normal (68),normal,2
