stem,cls,split,phash,w,h,n_boxes
benign (1),benign,train,1101010011101000000010111100011100110101100001011110011010100011,562,471,1
benign (10),benign,train,1111111010001111000111111110000111100001100011100000001111010001,683,585,1
benign (100),benign,train,1011010011011010110001111010010101100001010110000101101000011110,323,473,2
benign (101),benign,test,1010100011010010000110100110110111110000110110101000110010100101,563,473,1
benign (102),benign,train,1010010111100101110101101001001010011010010010011001101111010000,634,610,1
benign (103),benign,train,1100001010011110111000001100010000011001101110011100100011011110,766,585,1
benign (104),benign,train,1000011011001011011100010011000001101000011111000111010010011101,777,578,1
benign (105),benign,train,1101010011100110001110111001100100101001011101101100011010100000,882,581,1
benign (106),benign,train,1010110010111001011100110100011000000110010101110011110000111001,808,716,1
benign (107),benign,train,1000010110000001011010110011101111100110111001001101100010011000,759,616,1
benign (108),benign,train,1000000010100000000011001100010000110011100110111111011111011001,769,582,1
benign (109),benign,train,1010000110111100110001011100001101111000001111000000011110011010,562,470,1
benign (11),benign,test,1100000110100101000111001101100000101101101110111100001101000110,689,587,1
benign (110),benign,test,1100101111101011001101001001110110000111110000011010000110110010,555,468,1
benign (111),benign,train,1011001011101000110011010001001000010010111000001110110011111101,315,477,1
benign (112),benign,test,1100001111001100101101100010011000100011100000111010011011111100,652,612,1
benign (113),benign,test,1001000010101100011101100101001101111011011000100110010001100100,810,695,1
benign (114),benign,train,1000000010100000001011101100000000100001100110101111101111111101,757,575,1
benign (115),benign,train,1001010011100100001100110101100111001010101001001101100010011011,554,469,1
benign (116),benign,train,1000000010100000001011101100000101100000100110101111101110111101,766,588,1
benign (117),benign,train,1000111010101010011000100001110100110101011111010110101001001010,806,688,1
benign (118),benign,train,1111100110100011100111111100000000000110011011100100111111010001,653,620,1
benign (119),benign,test,1000100010100000001101111100001101100000100100101101101110111101,762,585,1
benign (12),benign,val,1010010111010010010110100011110101100010111001001010010010101110,678,571,1
benign (120),benign,train,1110101010101010000111110011011101110000011100010001110000001111,808,695,1
benign (121),benign,train,1010010110100101110001101001101010011011000110001101100011011001,646,610,1
benign (122),benign,train,1000100010100000101001111100001101100000100100101101011110111101,774,577,1
benign (123),benign,train,1110011110011101100101000001000100100011011010110110110101100111,648,610,1
benign (124),benign,val,1100001011100001000101110000111000111101010001111100001100011110,645,614,1
benign (125),benign,train,1100001110111001101111001100011001101000101100010111100010001100,756,578,1
