epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.278,1.06184,2.06577,1.77633,0.73099,0.21667,0.08868,0.08237,1.9472,3.89379,2.34006,0.0700164,0.00277498,0.00277498
2,122.166,0.64056,0.95042,1.36469,0.65524,0.42289,0.23031,0.18546,1.63624,3.20688,2.0278,0.039479,0.00557094,0.00557094
3,166.053,0.64839,0.88282,1.33645,0.72452,0.31791,0.28491,0.21503,1.90868,2.58476,2.17629,0.00891365,0.00833894,0.00833894
4,210.11,0.62226,0.78118,1.2921,0.32153,0.50156,0.26649,0.14923,1.96793,3.72259,2.39134,0.00834521,0.00834521,0.00834521
5,253.983,0.59752,0.7391,1.2822,0.36625,0.551,0.37654,0.24633,1.85693,2.54814,2.24088,0.00830327,0.00830327,0.00830327
6,298.154,0.56609,0.65099,1.25788,0.39028,0.58094,0.46649,0.29654,1.66741,1.8328,1.9692,0.00826134,0.00826134,0.00826134
7,342.366,0.54762,0.63387,1.23489,0.62471,0.4922,0.47675,0.34417,1.51213,1.88129,1.8346,0.00821941,0.00821941,0.00821941
8,386.604,0.54814,0.61234,1.22061,0.46447,0.60896,0.50739,0.35981,1.52688,1.75002,1.85736,0.00817748,0.00817748,0.00817748
9,431.137,0.54055,0.60148,1.22267,0.48958,0.5283,0.50373,0.36467,1.66229,2.03715,1.97339,0.00813555,0.00813555,0.00813555
10,475.612,0.52561,0.58538,1.2041,0.51803,0.67146,0.54572,0.36177,1.54048,1.79024,1.85097,0.00809362,0.00809362,0.00809362
11,519.54,0.50075,0.56683,1.19019,0.52329,0.64148,0.59345,0.41151,1.58869,1.94456,1.88717,0.00805169,0.00805169,0.00805169
12,563.979,0.49437,0.56239,1.18454,0.53252,0.59335,0.55963,0.37744,1.67989,1.85207,1.98136,0.00800975,0.00800975,0.00800975
13,607.967,0.48382,0.53996,1.17582,0.43608,0.63501,0.57686,0.42779,1.50699,1.9539,1.86443,0.00796782,0.00796782,0.00796782
14,652.257,0.47039,0.53494,1.15456,0.51765,0.43446,0.50505,0.34232,1.98706,2.43165,2.48165,0.00792589,0.00792589,0.00792589
15,696.415,0.47118,0.51436,1.15439,0.51108,0.65143,0.61451,0.43089,1.50459,1.53469,1.77208,0.00788396,0.00788396,0.00788396
16,740.717,0.48121,0.52442,1.17045,0.56217,0.69809,0.64506,0.43797,1.49929,1.47887,1.83845,0.00784203,0.00784203,0.00784203
17,784.987,0.47028,0.51776,1.15894,0.51697,0.66675,0.62283,0.44203,1.44029,1.44117,1.73799,0.0078001,0.0078001,0.0078001
18,829.236,0.45716,0.5103,1.15373,0.64327,0.71996,0.72775,0.45887,1.65402,1.48576,1.98216,0.00775817,0.00775817,0.00775817
19,873.475,0.46999,0.51257,1.16619,0.65203,0.67033,0.65154,0.45268,1.4087,1.41166,1.72332,0.00771623,0.00771623,0.00771623
