epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.7843,0.87172,1.46309,1.57341,0.75699,0.15,0.10484,0.08006,2.1203,4.19723,2.91803,0.0672764,3.5019e-05,3.5019e-05
2,100.77,0.5356,0.71761,1.26576,0.30902,0.4703,0.3019,0.20105,1.95646,2.85317,2.38895,0.0339783,7.03026e-05,7.03026e-05
3,136.145,0.52008,0.68397,1.25386,0.60939,0.47788,0.35061,0.22419,1.77709,2.29185,2.14024,0.000679946,0.000105233,0.000105233
4,171.717,0.48083,0.62911,1.21185,0.41599,0.5842,0.46503,0.33027,1.68587,2.11185,2.0442,0.000105313,0.000105313,0.000105313
5,207.462,0.47272,0.63668,1.21455,0.45572,0.49636,0.48931,0.29744,1.84593,2.1269,2.18734,0.000104783,0.000104783,0.000104783
6,243.164,0.45221,0.57363,1.19787,0.57251,0.54963,0.52311,0.33043,1.84293,1.98274,2.09185,0.000104254,0.000104254,0.000104254
7,278.959,0.4551,0.56278,1.19017,0.48847,0.63674,0.58514,0.37752,1.65012,2.07349,2.05173,0.000103725,0.000103725,0.000103725
8,315.228,0.43005,0.548,1.16526,0.45024,0.58934,0.51507,0.37234,1.65854,1.74587,2.00587,0.000103196,0.000103196,0.000103196
9,351.211,0.43586,0.54056,1.17308,0.44978,0.54983,0.55777,0.39255,1.58879,1.73241,1.90441,0.000102667,0.000102667,0.000102667
10,387.807,0.41479,0.51731,1.15734,0.57754,0.53871,0.5512,0.35287,1.80333,1.74821,2.12084,0.000102138,0.000102138,0.000102138
11,423.914,0.4137,0.51652,1.15678,0.45713,0.67278,0.56515,0.39123,1.68056,1.65436,1.96964,0.000101608,0.000101608,0.000101608
12,460.174,0.40614,0.49615,1.14803,0.59371,0.62111,0.59784,0.40014,1.55254,1.65525,1.95116,0.000101079,0.000101079,0.000101079
13,496.875,0.39877,0.49865,1.15039,0.53668,0.71776,0.61423,0.41993,1.47304,1.61421,1.84639,0.00010055,0.00010055,0.00010055
14,533.69,0.39309,0.4925,1.13729,0.5589,0.61486,0.57458,0.37268,1.74842,1.71721,2.09289,0.000100021,0.000100021,0.000100021
15,570.106,0.38696,0.47672,1.12256,0.45308,0.62065,0.54312,0.39274,1.57673,1.97046,1.9257,9.94918e-05,9.94918e-05,9.94918e-05
16,606.598,0.37751,0.4745,1.12491,0.53415,0.68593,0.61696,0.44554,1.51754,1.55149,1.86932,9.89627e-05,9.89627e-05,9.89627e-05
17,643.226,0.37793,0.45713,1.1256,0.57161,0.65935,0.67193,0.46451,1.64617,1.41832,1.97529,9.84335e-05,9.84335e-05,9.84335e-05
18,679.902,0.35964,0.46576,1.11518,0.51591,0.7116,0.58843,0.41372,1.54912,1.60746,1.87034,9.79044e-05,9.79044e-05,9.79044e-05
19,716.216,0.37937,0.47206,1.12517,0.60497,0.60186,0.61335,0.41113,1.67831,1.51914,1.9859,9.73752e-05,9.73752e-05,9.73752e-05
20,752.764,0.37687,0.46015,1.1236,0.57549,0.67641,0.64501,0.47463,1.51954,1.40329,1.80621,9.68461e-05,9.68461e-05,9.68461e-05
21,789.549,0.34705,0.43153,1.09383,0.59236,0.61704,0.57316,0.37856,1.63522,1.50061,1.94646,9.63169e-05,9.63169e-05,9.63169e-05
22,826.108,0.36441,0.45932,1.11427,0.6026,0.61984,0.62431,0.43315,1.64109,1.54587,1.92779,9.57877e-05,9.57877e-05,9.57877e-05
23,862.615,0.3628,0.44766,1.11095,0.59587,0.64922,0.61903,0.43014,1.56226,1.45702,1.87611,9.52586e-05,9.52586e-05,9.52586e-05
24,899.376,0.34955,0.43505,1.10451,0.60763,0.61763,0.61085,0.41542,1.61166,1.48606,1.8733,9.47294e-05,9.47294e-05,9.47294e-05
25,935.938,0.36906,0.46164,1.11755,0.572,0.70896,0.6208,0.44169,1.59221,1.447,1.85831,9.42003e-05,9.42003e-05,9.42003e-05
26,972.399,0.34635,0.41206,1.09384,0.57601,0.65556,0.65249,0.48741,1.51949,1.50358,1.81456,9.36711e-05,9.36711e-05,9.36711e-05
27,1009.11,0.33693,0.42873,1.0943,0.59821,0.68238,0.66265,0.45719,1.64661,1.43467,1.93783,9.3142e-05,9.3142e-05,9.3142e-05
28,1045.83,0.35263,0.45237,1.10492,0.62055,0.69797,0.66486,0.45642,1.57165,1.40071,1.87852,9.26128e-05,9.26128e-05,9.26128e-05
29,1082.35,0.34479,0.42812,1.0948,0.62575,0.66682,0.61272,0.42022,1.53226,1.46808,1.83728,9.20837e-05,9.20837e-05,9.20837e-05
30,1118.95,0.34016,0.42667,1.09691,0.58027,0.66257,0.62474,0.40428,1.74074,1.55775,2.04065,9.15545e-05,9.15545e-05,9.15545e-05
31,1155.64,0.33101,0.39466,1.08617,0.60711,0.63303,0.64422,0.45831,1.52037,1.68577,1.86397,9.10254e-05,9.10254e-05,9.10254e-05
32,1192.26,0.34034,0.41196,1.08615,0.60453,0.65411,0.66758,0.44505,1.66522,1.49237,1.98716,9.04962e-05,9.04962e-05,9.04962e-05
33,1228.75,0.34284,0.41445,1.09668,0.65278,0.66016,0.66906,0.44267,1.58359,1.35608,1.81663,8.9967e-05,8.9967e-05,8.9967e-05
34,1265.43,0.32881,0.41821,1.08518,0.60158,0.69207,0.70208,0.45288,1.69146,1.32922,1.91984,8.94379e-05,8.94379e-05,8.94379e-05
35,1302.12,0.32308,0.4149,1.07856,0.73818,0.67571,0.69805,0.4779,1.53253,1.24558,1.80273,8.89087e-05,8.89087e-05,8.89087e-05
36,1338.7,0.33135,0.40522,1.08846,0.55279,0.67006,0.6695,0.47287,1.52135,1.37004,1.83518,8.83796e-05,8.83796e-05,8.83796e-05
37,1375.21,0.33294,0.41372,1.08818,0.60841,0.73258,0.66492,0.48668,1.41901,1.3017,1.77987,8.78504e-05,8.78504e-05,8.78504e-05
38,1412.12,0.34188,0.41377,1.09882,0.67406,0.63064,0.65576,0.47199,1.51982,1.40131,1.81432,8.73213e-05,8.73213e-05,8.73213e-05
39,1448.47,0.3204,0.38391,1.06965,0.66299,0.7218,0.67478,0.46523,1.58896,1.37549,1.91128,8.67921e-05,8.67921e-05,8.67921e-05
40,1485.71,0.31783,0.39594,1.07469,0.63905,0.70453,0.68315,0.48584,1.45174,1.34682,1.75754,8.6263e-05,8.6263e-05,8.6263e-05
41,1524.24,0.32251,0.38702,1.07798,0.61701,0.71718,0.70209,0.50455,1.44014,1.25295,1.7147,8.57338e-05,8.57338e-05,8.57338e-05
42,1562.18,0.31517,0.37543,1.07357,0.71744,0.61041,0.67727,0.48252,1.50252,1.31484,1.7526,8.52046e-05,8.52046e-05,8.52046e-05
43,1600.27,0.30572,0.39874,1.06364,0.66476,0.70606,0.6671,0.43168,1.73425,1.41473,1.96687,8.46755e-05,8.46755e-05,8.46755e-05
44,1639.11,0.3151,0.38139,1.07637,0.6975,0.64014,0.67392,0.46676,1.56038,1.34387,1.8107,8.41463e-05,8.41463e-05,8.41463e-05
45,1677.63,0.3111,0.38732,1.06994,0.61817,0.6961,0.66902,0.45925,1.55504,1.23629,1.83568,8.36172e-05,8.36172e-05,8.36172e-05
46,1716.43,0.33313,0.38856,1.08531,0.60726,0.71912,0.65595,0.44514,1.48198,1.42577,1.79539,8.3088e-05,8.3088e-05,8.3088e-05
47,1754.9,0.32234,0.38684,1.07231,0.67595,0.68544,0.65964,0.47365,1.42462,1.36233,1.77263,8.25589e-05,8.25589e-05,8.25589e-05
48,1793.32,0.30874,0.37793,1.06974,0.63472,0.60211,0.67666,0.4662,1.49036,1.23002,1.76676,8.20297e-05,8.20297e-05,8.20297e-05
49,1831.19,0.31399,0.38451,1.07348,0.63261,0.64829,0.64995,0.44217,1.58866,1.33059,1.82794,8.15006e-05,8.15006e-05,8.15006e-05
50,1868.91,0.31056,0.38615,1.07053,0.63149,0.71937,0.6581,0.46445,1.52868,1.3492,1.82153,8.09714e-05,8.09714e-05,8.09714e-05
51,1906.29,0.3124,0.38554,1.06788,0.63108,0.58918,0.62064,0.44428,1.49168,1.37744,1.78115,8.04422e-05,8.04422e-05,8.04422e-05
52,1943.81,0.29844,0.36915,1.05669,0.71833,0.63256,0.67646,0.45282,1.53513,1.36101,1.7882,7.99131e-05,7.99131e-05,7.99131e-05
53,1981.15,0.31001,0.38329,1.07473,0.6745,0.67333,0.69782,0.49437,1.39311,1.27559,1.67498,7.93839e-05,7.93839e-05,7.93839e-05
54,2018.52,0.3098,0.38096,1.06722,0.70901,0.57029,0.67311,0.45913,1.5286,1.4026,1.79666,7.88548e-05,7.88548e-05,7.88548e-05
55,2055.72,0.30309,0.38007,1.05872,0.72235,0.62774,0.71928,0.49305,1.39805,1.28979,1.73693,7.83256e-05,7.83256e-05,7.83256e-05
56,2093.07,0.30367,0.37075,1.06068,0.6884,0.6777,0.70874,0.5242,1.28733,1.23787,1.60299,7.77965e-05,7.77965e-05,7.77965e-05
57,2130.37,0.30496,0.35759,1.06752,0.75443,0.68013,0.74608,0.52581,1.46969,1.19103,1.78565,7.72673e-05,7.72673e-05,7.72673e-05
58,2168.04,0.29491,0.36835,1.05354,0.7183,0.62919,0.72967,0.48264,1.57251,1.40263,1.83196,7.67382e-05,7.67382e-05,7.67382e-05
59,2205.3,0.29401,0.35308,1.05768,0.73393,0.65917,0.73134,0.52807,1.35219,1.22938,1.68402,7.6209e-05,7.6209e-05,7.6209e-05
60,2243,0.28429,0.34575,1.0459,0.62808,0.74693,0.72015,0.5155,1.35843,1.25832,1.69237,7.56799e-05,7.56799e-05,7.56799e-05
61,2280.23,0.2898,0.35261,1.05587,0.72713,0.69002,0.71117,0.48372,1.50644,1.30597,1.78457,7.51507e-05,7.51507e-05,7.51507e-05
62,2317.3,0.30156,0.36626,1.06361,0.67575,0.60047,0.66581,0.46618,1.39249,1.34935,1.71793,7.46215e-05,7.46215e-05,7.46215e-05
63,2354.55,0.29864,0.35821,1.06014,0.78474,0.64969,0.67963,0.4895,1.35996,1.28915,1.67608,7.40924e-05,7.40924e-05,7.40924e-05
64,2391.7,0.29216,0.35727,1.05541,0.73033,0.61763,0.6792,0.4753,1.44737,1.33622,1.74182,7.35632e-05,7.35632e-05,7.35632e-05
65,2428.73,0.28596,0.34574,1.0498,0.6198,0.70547,0.67959,0.4897,1.45396,1.33972,1.75656,7.30341e-05,7.30341e-05,7.30341e-05
66,2466.01,0.2804,0.34096,1.04821,0.76701,0.65756,0.73309,0.52615,1.40788,1.17386,1.74257,7.25049e-05,7.25049e-05,7.25049e-05
67,2503.09,0.27774,0.3303,1.05138,0.64564,0.63067,0.67479,0.49534,1.3033,1.26231,1.67038,7.19758e-05,7.19758e-05,7.19758e-05
68,2540.33,0.28966,0.35469,1.05101,0.64272,0.70665,0.74414,0.52302,1.35561,1.18895,1.7116,7.14466e-05,7.14466e-05,7.14466e-05
69,2577.42,0.28311,0.35082,1.04163,0.67207,0.70483,0.72126,0.49455,1.5505,1.24077,1.85031,7.09175e-05,7.09175e-05,7.09175e-05
70,2614.73,0.28004,0.35105,1.03837,0.67049,0.65062,0.67436,0.49405,1.41064,1.38111,1.73605,7.03883e-05,7.03883e-05,7.03883e-05
71,2651.84,0.2788,0.34722,1.04516,0.63815,0.75211,0.71767,0.52202,1.40026,1.23548,1.72498,6.98591e-05,6.98591e-05,6.98591e-05
72,2689.33,0.28596,0.35182,1.04694,0.60152,0.68459,0.63622,0.47328,1.39436,1.41779,1.71861,6.933e-05,6.933e-05,6.933e-05
73,2726.88,0.28153,0.34774,1.05065,0.63821,0.67938,0.71452,0.51598,1.31769,1.18207,1.6463,6.88008e-05,6.88008e-05,6.88008e-05
74,2764.51,0.28677,0.34554,1.04755,0.67038,0.59848,0.71382,0.5116,1.42277,1.49168,1.74559,6.82717e-05,6.82717e-05,6.82717e-05
75,2802.21,0.27673,0.34312,1.04454,0.74565,0.56493,0.68281,0.48385,1.37817,1.31368,1.70625,6.77425e-05,6.77425e-05,6.77425e-05
76,2840.29,0.29321,0.35551,1.05528,0.58664,0.74292,0.7025,0.55163,1.15785,1.23311,1.53231,6.72134e-05,6.72134e-05,6.72134e-05
77,2877.98,0.27553,0.33573,1.0386,0.73225,0.61971,0.69517,0.50056,1.2846,1.42304,1.64115,6.66842e-05,6.66842e-05,6.66842e-05
78,2915.41,0.27493,0.34377,1.04014,0.77238,0.6366,0.70546,0.51858,1.25179,1.25131,1.60269,6.61551e-05,6.61551e-05,6.61551e-05
79,2952.73,0.28037,0.32726,1.03777,0.67712,0.59537,0.6619,0.492,1.33021,1.31897,1.66836,6.56259e-05,6.56259e-05,6.56259e-05
80,2990.43,0.27211,0.34229,1.03872,0.67654,0.64969,0.69827,0.50078,1.42084,1.31073,1.71138,6.50968e-05,6.50968e-05,6.50968e-05
81,3027.72,0.27915,0.34032,1.04267,0.70054,0.73349,0.74206,0.54871,1.34014,1.18375,1.66262,6.45676e-05,6.45676e-05,6.45676e-05
82,3065.44,0.28532,0.33967,1.05214,0.69665,0.63051,0.70879,0.4886,1.43027,1.295,1.72528,6.40384e-05,6.40384e-05,6.40384e-05
83,3102.72,0.26916,0.33033,1.04017,0.77025,0.63961,0.7311,0.53249,1.33154,1.10992,1.65952,6.35093e-05,6.35093e-05,6.35093e-05
84,3140.29,0.26712,0.32957,1.03418,0.70867,0.70308,0.7448,0.55266,1.34244,1.09593,1.66332,6.29801e-05,6.29801e-05,6.29801e-05
85,3177.98,0.26896,0.33041,1.04125,0.67618,0.72019,0.73216,0.5379,1.28921,1.10352,1.61909,6.2451e-05,6.2451e-05,6.2451e-05
86,3215.41,0.27211,0.32566,1.04213,0.65676,0.75244,0.73315,0.524,1.35704,1.12247,1.67654,6.19218e-05,6.19218e-05,6.19218e-05
87,3253.11,0.27293,0.32803,1.03632,0.65199,0.73075,0.72301,0.53176,1.38544,1.13916,1.67441,6.13927e-05,6.13927e-05,6.13927e-05
88,3290.26,0.28321,0.34157,1.04882,0.72264,0.69065,0.74864,0.5425,1.32881,1.13364,1.6258,6.08635e-05,6.08635e-05,6.08635e-05
89,3327.43,0.26925,0.32631,1.03075,0.63669,0.67422,0.69586,0.50044,1.31364,1.2019,1.60982,6.03344e-05,6.03344e-05,6.03344e-05
90,3365.02,0.25783,0.29968,1.02338,0.70896,0.68141,0.70484,0.52947,1.29654,1.24209,1.67445,5.98052e-05,5.98052e-05,5.98052e-05
91,3402.27,0.26664,0.32759,1.037,0.78119,0.53602,0.6605,0.45693,1.37035,1.30462,1.72362,5.9276e-05,5.9276e-05,5.9276e-05
92,3439.75,0.26966,0.32829,1.04065,0.64522,0.76695,0.71718,0.51476,1.35,1.12183,1.65985,5.87469e-05,5.87469e-05,5.87469e-05
93,3477.02,0.2592,0.3144,1.02724,0.66272,0.75675,0.74028,0.57673,1.22292,1.11526,1.54892,5.82177e-05,5.82177e-05,5.82177e-05
94,3514.53,0.25737,0.31535,1.02774,0.73949,0.67979,0.73867,0.53404,1.2865,1.19207,1.62217,5.76886e-05,5.76886e-05,5.76886e-05
95,3552.76,0.24391,0.30958,1.01968,0.81659,0.67156,0.75555,0.58422,1.16042,1.09742,1.50912,5.71594e-05,5.71594e-05,5.71594e-05
96,3591.59,0.26199,0.30805,1.02607,0.68664,0.67492,0.72623,0.55377,1.17026,1.0805,1.53151,5.66303e-05,5.66303e-05,5.66303e-05
97,3629.49,0.26652,0.3052,1.03549,0.78271,0.69125,0.74906,0.56991,1.23966,1.10002,1.5701,5.61011e-05,5.61011e-05,5.61011e-05
98,3668.01,0.25861,0.31219,1.02758,0.86972,0.61992,0.76556,0.56306,1.28461,1.12132,1.61861,5.5572e-05,5.5572e-05,5.5572e-05
99,3706.23,0.25112,0.30016,1.02313,0.8636,0.63677,0.7736,0.59546,1.22099,1.10645,1.60494,5.50428e-05,5.50428e-05,5.50428e-05
100,3744.79,0.25153,0.29915,1.02503,0.78638,0.61984,0.76833,0.58018,1.25068,1.0554,1.61491,5.45137e-05,5.45137e-05,5.45137e-05
101,3783.15,0.26174,0.30677,1.0307,0.75882,0.69804,0.78476,0.59296,1.26032,1.0399,1.59113,5.39845e-05,5.39845e-05,5.39845e-05
102,3821.61,0.25885,0.29977,1.02978,0.82878,0.68799,0.77815,0.56983,1.21824,1.09131,1.58867,5.34553e-05,5.34553e-05,5.34553e-05
103,3860.06,0.25661,0.29957,1.02968,0.72388,0.63494,0.74465,0.54754,1.34077,1.13497,1.64671,5.29262e-05,5.29262e-05,5.29262e-05
104,3898.57,0.25987,0.3152,1.03194,0.64211,0.72702,0.72429,0.53126,1.27061,1.11892,1.60591,5.2397e-05,5.2397e-05,5.2397e-05
105,3936.98,0.25849,0.30259,1.02628,0.69223,0.71045,0.74092,0.54285,1.2697,1.09911,1.60985,5.18679e-05,5.18679e-05,5.18679e-05
106,3975.45,0.26159,0.30145,1.02833,0.65866,0.74124,0.71086,0.52432,1.22048,1.1511,1.59055,5.13387e-05,5.13387e-05,5.13387e-05
107,4014.06,0.25002,0.29701,1.02036,0.66628,0.66209,0.7076,0.47166,1.31729,1.15495,1.69521,5.08096e-05,5.08096e-05,5.08096e-05
108,4052.38,0.25358,0.30453,1.02132,0.72483,0.66145,0.73995,0.54335,1.19828,1.15552,1.59282,5.02804e-05,5.02804e-05,5.02804e-05
109,4090.77,0.25427,0.29073,1.02654,0.80817,0.66629,0.75988,0.55326,1.28689,1.06384,1.62067,4.97513e-05,4.97513e-05,4.97513e-05
110,4129.32,0.2498,0.30454,1.01844,0.78773,0.55776,0.67974,0.516,1.26009,1.23423,1.60367,4.92221e-05,4.92221e-05,4.92221e-05
111,4167.83,0.25461,0.30506,1.02379,0.78341,0.62263,0.72151,0.54942,1.15995,1.16452,1.52857,4.86929e-05,4.86929e-05,4.86929e-05
112,4206.31,0.25162,0.29636,1.02395,0.63511,0.75077,0.74941,0.55508,1.17699,1.05443,1.56758,4.81638e-05,4.81638e-05,4.81638e-05
113,4244.82,0.24826,0.27657,1.02103,0.63445,0.77372,0.74994,0.54514,1.27333,1.07909,1.5992,4.76346e-05,4.76346e-05,4.76346e-05
114,4283.29,0.24481,0.28828,1.01812,0.71611,0.67919,0.74755,0.5774,1.13598,1.12955,1.52221,4.71055e-05,4.71055e-05,4.71055e-05
115,4321.7,0.25643,0.29642,1.02738,0.69957,0.64701,0.70584,0.54052,1.18952,1.15356,1.57162,4.65763e-05,4.65763e-05,4.65763e-05
116,4360.22,0.24299,0.28766,1.01852,0.68804,0.71982,0.74221,0.559,1.2296,1.14138,1.57596,4.60472e-05,4.60472e-05,4.60472e-05
117,4398.55,0.24696,0.28562,1.01876,0.71488,0.65699,0.74095,0.55943,1.21289,1.13383,1.57621,4.5518e-05,4.5518e-05,4.5518e-05
118,4437.04,0.23876,0.28467,1.01105,0.70818,0.74062,0.73858,0.56104,1.17067,1.09489,1.56979,4.49889e-05,4.49889e-05,4.49889e-05
119,4475.39,0.24532,0.28412,1.02134,0.7088,0.7219,0.72953,0.5747,1.16239,1.08425,1.52354,4.44597e-05,4.44597e-05,4.44597e-05
120,4513.92,0.25029,0.28444,1.01843,0.76084,0.69493,0.75972,0.59062,1.16454,1.05904,1.54613,4.39306e-05,4.39306e-05,4.39306e-05
