epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.7916,0.85648,1.37199,1.44222,0.68678,0.32662,0.12207,0.0851,1.97268,4.62759,2.40741,0.066928,0.000116425,0.000116425
2,97.133,0.67776,0.99085,1.30138,0.15541,0.39303,0.14344,0.10264,2.11778,3.58492,2.61133,0.0337105,0.000232203,0.000232203
3,122.98,0.64689,0.91656,1.27635,0.20942,0.42289,0.25908,0.20106,1.84352,3.38837,2.22797,0.000491751,0.000346824,0.000346824
4,148.816,0.59367,0.85412,1.23566,0.30519,0.43828,0.29035,0.21181,1.86996,2.96771,2.28597,0.000345591,0.000345591,0.000345591
5,174.649,0.56993,0.80885,1.21688,0.76384,0.3695,0.3467,0.2644,1.74209,2.51393,2.05242,0.000343854,0.000343854,0.000343854
6,200.185,0.54255,0.76192,1.20439,0.28768,0.47715,0.30082,0.2327,1.69482,2.9841,2.05467,0.000342118,0.000342118,0.000342118
7,225.611,0.55235,0.754,1.20308,0.50317,0.4783,0.4721,0.36094,1.56571,2.45547,1.9419,0.000340381,0.000340381,0.000340381
8,251.263,0.5257,0.7034,1.18594,0.47976,0.50691,0.45649,0.34433,1.6022,2.9639,2.03623,0.000338645,0.000338645,0.000338645
9,276.99,0.5186,0.70921,1.17711,0.42266,0.47251,0.45048,0.33243,1.70096,2.55094,2.08475,0.000336908,0.000336908,0.000336908
10,302.628,0.52332,0.69277,1.18272,0.35654,0.5521,0.47137,0.35447,1.49268,2.05009,1.88443,0.000335172,0.000335172,0.000335172
11,328.603,0.51103,0.70664,1.18599,0.37895,0.37782,0.3569,0.27677,1.57707,2.34519,1.98443,0.000333435,0.000333435,0.000333435
12,354.146,0.50134,0.65855,1.16745,0.42774,0.49415,0.44115,0.3104,1.68138,2.172,2.06856,0.000331699,0.000331699,0.000331699
13,379.629,0.47634,0.64161,1.15835,0.36881,0.62481,0.49691,0.34309,1.73064,2.14472,2.03733,0.000329962,0.000329962,0.000329962
14,405.006,0.47023,0.64148,1.1534,0.35768,0.58558,0.46609,0.36109,1.50566,2.164,1.90165,0.000328226,0.000328226,0.000328226
15,430.743,0.46503,0.60887,1.14855,0.43174,0.49733,0.46364,0.33781,1.5935,2.12336,1.94533,0.00032649,0.00032649,0.00032649
