epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.0448,1.17469,2.20818,1.79066,0.61204,0.34154,0.11695,0.10516,2.09911,3.05722,2.4566,0.0705172,0.00327586,0.00327586
2,70.1002,0.67357,0.88912,1.37084,0.81722,0.17846,0.23049,0.18037,1.97217,3.49309,2.25544,0.0404845,0.00657648,0.00657648
3,88.5838,0.67167,0.8818,1.35005,0.72824,0.19328,0.20037,0.16547,2.29204,3.99778,2.87877,0.0104188,0.0098441,0.0098441
4,107.402,0.69734,0.8133,1.35876,0.61588,0.28632,0.22243,0.13162,1.97218,4.12327,2.42629,0.0098515,0.0098515,0.0098515
5,126.068,0.6903,0.81881,1.35201,0.75861,0.29975,0.28094,0.20421,1.81756,3.57196,2.34091,0.009802,0.009802,0.009802
6,144.124,0.6864,0.78174,1.365,0.64708,0.26318,0.13036,0.09035,1.99556,4.36627,2.70167,0.0097525,0.0097525,0.0097525
7,161.934,0.66305,0.76169,1.33322,0.79734,0.27146,0.26505,0.20855,1.99416,4.16102,2.75365,0.009703,0.009703,0.009703
8,180.301,0.63776,0.73149,1.30643,0.72267,0.44123,0.40615,0.29654,1.90479,2.87021,2.44031,0.0096535,0.0096535,0.0096535
9,199.05,0.61715,0.71241,1.27979,0.65416,0.1398,0.14298,0.04666,2.17119,3.48167,2.47844,0.009604,0.009604,0.009604
10,217.574,0.61675,0.71972,1.28196,0.73822,0.29303,0.32105,0.18225,2.03806,3.39368,2.42142,0.0095545,0.0095545,0.0095545
11,236.012,0.60747,0.68357,1.27901,0.8484,0.26667,0.31593,0.24969,2.1349,3.40141,2.52762,0.009505,0.009505,0.009505
12,254.509,0.59248,0.68321,1.26175,0.22488,0.44776,0.33181,0.24525,1.92481,3.72292,2.59217,0.0094555,0.0094555,0.0094555
13,272.936,0.57422,0.66649,1.26101,0.29595,0.56452,0.33798,0.18853,1.93469,3.97587,2.43625,0.009406,0.009406,0.009406
14,291.182,0.57581,0.65962,1.24841,0.30451,0.54369,0.38149,0.20924,1.85363,3.02704,2.36627,0.0093565,0.0093565,0.0093565
15,309.465,0.56793,0.64724,1.23496,0.3475,0.61197,0.40104,0.23563,1.75047,2.80081,2.02848,0.009307,0.009307,0.009307
16,327.842,0.56786,0.63199,1.24113,0.2159,0.4885,0.21326,0.09849,1.99691,2.9429,2.37688,0.0092575,0.0092575,0.0092575
17,345.928,0.54251,0.62814,1.21521,0.32936,0.49394,0.37973,0.26781,1.83919,2.53506,2.16615,0.009208,0.009208,0.009208
18,363.887,0.53932,0.62441,1.22182,0.28817,0.60432,0.43979,0.32856,1.63267,2.41712,2.05948,0.0091585,0.0091585,0.0091585
19,382.074,0.55528,0.62759,1.23155,0.40907,0.5908,0.51816,0.33435,1.76898,2.21771,1.99184,0.009109,0.009109,0.009109
20,400.234,0.53267,0.6038,1.21502,0.78013,0.44113,0.51071,0.35689,1.76948,2.06675,2.07697,0.0090595,0.0090595,0.0090595
21,418.181,0.49593,0.58804,1.17711,0.3756,0.61474,0.55654,0.40189,1.67781,1.83023,2.06336,0.00901,0.00901,0.00901
22,436.258,0.50982,0.6003,1.19982,0.36369,0.58937,0.53377,0.36122,1.73717,2.85766,2.06996,0.0089605,0.0089605,0.0089605
23,454.555,0.51855,0.59482,1.20475,0.48669,0.49913,0.44108,0.2652,1.65553,2.01597,2.03002,0.008911,0.008911,0.008911
24,472.545,0.50003,0.58646,1.18919,0.33435,0.55472,0.44639,0.30318,1.7025,2.84347,2.07347,0.0088615,0.0088615,0.0088615
25,490.343,0.50891,0.60528,1.19687,0.40324,0.50234,0.45446,0.33135,1.83112,3.67239,2.42308,0.008812,0.008812,0.008812
26,508.181,0.49614,0.57072,1.18636,0.46717,0.65173,0.57314,0.38967,1.60931,1.70357,1.96085,0.0087625,0.0087625,0.0087625
27,526.206,0.48462,0.54937,1.17103,0.42804,0.6662,0.50581,0.38085,1.62811,1.71977,1.94543,0.008713,0.008713,0.008713
28,544.228,0.4963,0.5888,1.18793,0.45519,0.55781,0.44691,0.29932,1.80907,2.28864,2.13098,0.0086635,0.0086635,0.0086635
