epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.4743,0.8446,1.43797,1.43217,0.72557,0.31667,0.0965,0.0825,2.08313,5.1966,2.49183,0.0672857,4.42897e-05,4.42897e-05
2,80.0879,0.54876,0.71412,1.20109,0.39154,0.34303,0.33768,0.26035,1.84829,3.19954,2.16991,0.033997,8.8914e-05,8.8914e-05
3,95.0019,0.49691,0.66212,1.17596,0.28003,0.51337,0.32268,0.20146,1.79582,2.67283,2.05942,0.000707805,0.000133092,0.000133092
4,110.262,0.4788,0.61014,1.15148,0.42435,0.55224,0.51109,0.36676,1.5575,2.30063,1.78336,0.000133192,0.000133192,0.000133192
5,125.794,0.4611,0.60462,1.14958,0.52019,0.65248,0.58289,0.40466,1.53629,1.75636,1.87106,0.000132523,0.000132523,0.000132523
6,141.053,0.43866,0.55538,1.12591,0.42455,0.61669,0.51589,0.35641,1.57658,1.96185,1.83675,0.000131854,0.000131854,0.000131854
7,156.512,0.44156,0.54608,1.12563,0.59377,0.57447,0.51635,0.36048,1.46946,1.98251,1.72747,0.000131185,0.000131185,0.000131185
8,171.815,0.42132,0.5301,1.10586,0.53185,0.56154,0.54773,0.41331,1.59338,1.85763,1.82444,0.000130515,0.000130515,0.000130515
9,186.957,0.42472,0.52093,1.11386,0.60746,0.72699,0.64987,0.44299,1.47541,1.59473,1.75592,0.000129846,0.000129846,0.000129846
10,202.568,0.41064,0.51044,1.09751,0.5859,0.64964,0.59934,0.40958,1.52818,1.79544,1.76219,0.000129177,0.000129177,0.000129177
11,217.892,0.41553,0.50336,1.10054,0.61391,0.58536,0.59762,0.42638,1.55369,1.75776,1.71923,0.000128508,0.000128508,0.000128508
12,232.855,0.4037,0.50403,1.09399,0.55808,0.61979,0.57064,0.40432,1.41873,1.76401,1.69444,0.000127838,0.000127838,0.000127838
13,247.941,0.38628,0.48398,1.09246,0.58938,0.71576,0.66495,0.45248,1.44115,1.48244,1.72651,0.000127169,0.000127169,0.000127169
14,263.086,0.3798,0.46816,1.07736,0.50546,0.53336,0.55309,0.36169,1.55768,1.71344,1.78227,0.0001265,0.0001265,0.0001265
15,278.022,0.38223,0.46954,1.07646,0.49957,0.65594,0.59729,0.42429,1.44181,1.6665,1.69426,0.000125831,0.000125831,0.000125831
16,294.013,0.37911,0.46016,1.08127,0.53168,0.65082,0.57218,0.37351,1.58225,1.60619,1.83631,0.000125161,0.000125161,0.000125161
17,309.187,0.37678,0.45342,1.08025,0.57913,0.63774,0.64559,0.45341,1.52394,1.53538,1.73822,0.000124492,0.000124492,0.000124492
18,324.617,0.3562,0.44886,1.0689,0.60094,0.62617,0.61985,0.40772,1.55412,1.56774,1.77327,0.000123823,0.000123823,0.000123823
19,340.236,0.38175,0.46787,1.08764,0.61668,0.67724,0.63634,0.44218,1.4355,1.52256,1.67925,0.000123154,0.000123154,0.000123154
20,355.721,0.36615,0.45017,1.07463,0.68804,0.60364,0.65132,0.44237,1.49207,1.5484,1.67065,0.000122484,0.000122484,0.000122484
21,371.606,0.34243,0.42271,1.04993,0.59455,0.66206,0.62629,0.44246,1.45855,1.43181,1.66919,0.000121815,0.000121815,0.000121815
22,386.648,0.36795,0.44533,1.07742,0.6188,0.65883,0.63906,0.45779,1.42713,1.42322,1.66387,0.000121146,0.000121146,0.000121146
23,401.688,0.35873,0.44069,1.06377,0.60302,0.70818,0.64326,0.45478,1.5225,1.52984,1.71856,0.000120477,0.000120477,0.000120477
24,416.863,0.34219,0.42168,1.05222,0.58124,0.62932,0.5851,0.42159,1.49218,1.76993,1.67533,0.000119807,0.000119807,0.000119807
25,431.845,0.36709,0.4564,1.07237,0.58164,0.65739,0.59145,0.38472,1.61606,1.64002,1.8315,0.000119138,0.000119138,0.000119138
26,446.602,0.3561,0.42552,1.06357,0.57016,0.64211,0.6187,0.46761,1.34083,1.55758,1.59029,0.000118469,0.000118469,0.000118469
27,462.313,0.34389,0.4179,1.05656,0.5972,0.62823,0.58743,0.41879,1.46367,1.52575,1.62641,0.0001178,0.0001178,0.0001178
28,477.944,0.35635,0.44259,1.06613,0.62478,0.67562,0.6445,0.46948,1.37281,1.43614,1.53901,0.000117131,0.000117131,0.000117131
29,493.299,0.34474,0.42422,1.05148,0.64365,0.63831,0.60886,0.41922,1.41949,1.47018,1.60939,0.000116461,0.000116461,0.000116461
30,508.774,0.35279,0.42029,1.06126,0.60475,0.69756,0.64931,0.43057,1.49896,1.43118,1.70132,0.000115792,0.000115792,0.000115792
31,524.198,0.32379,0.40056,1.04235,0.5716,0.69055,0.61144,0.37374,1.5139,1.547,1.67804,0.000115123,0.000115123,0.000115123
32,539.647,0.33457,0.40287,1.04798,0.57743,0.62405,0.61126,0.41867,1.47701,1.44822,1.63512,0.000114454,0.000114454,0.000114454
33,554.529,0.33388,0.40266,1.0499,0.64999,0.72266,0.69009,0.4641,1.44148,1.3424,1.60382,0.000113784,0.000113784,0.000113784
34,569.598,0.32641,0.40379,1.04296,0.57919,0.68288,0.65043,0.44537,1.44691,1.38336,1.57656,0.000113115,0.000113115,0.000113115
35,585.511,0.32801,0.40154,1.04406,0.68073,0.65054,0.6469,0.43561,1.48685,1.35762,1.64909,0.000112446,0.000112446,0.000112446
36,600.917,0.32362,0.39019,1.04136,0.67931,0.67144,0.67138,0.48328,1.34234,1.29587,1.53066,0.000111777,0.000111777,0.000111777
37,616.172,0.32966,0.39943,1.04233,0.6613,0.65152,0.65542,0.46504,1.37147,1.3262,1.5343,0.000111107,0.000111107,0.000111107
38,631.528,0.33548,0.41094,1.05278,0.68057,0.62249,0.6718,0.48116,1.36732,1.3185,1.56611,0.000110438,0.000110438,0.000110438
39,646.775,0.31633,0.37254,1.03041,0.64706,0.69739,0.69909,0.47977,1.42931,1.43612,1.57098,0.000109769,0.000109769,0.000109769
40,661.867,0.31842,0.39055,1.03196,0.57264,0.74995,0.6281,0.43222,1.43821,1.39856,1.60493,0.0001091,0.0001091,0.0001091
41,677.168,0.32141,0.38862,1.03969,0.66783,0.68592,0.67879,0.46355,1.52044,1.3523,1.65462,0.00010843,0.00010843,0.00010843
42,693.008,0.32458,0.37212,1.03899,0.63938,0.71973,0.68662,0.51099,1.2847,1.33128,1.48339,0.000107761,0.000107761,0.000107761
43,708.84,0.31169,0.38344,1.02479,0.6254,0.71278,0.65975,0.45849,1.5456,1.40894,1.68739,0.000107092,0.000107092,0.000107092
44,724.176,0.3154,0.37604,1.04052,0.62742,0.67716,0.62921,0.44838,1.36736,1.44153,1.5615,0.000106423,0.000106423,0.000106423
45,739.087,0.30859,0.37431,1.03282,0.65078,0.70628,0.70314,0.51055,1.28707,1.3599,1.47945,0.000105753,0.000105753,0.000105753
46,754.714,0.33013,0.38726,1.04256,0.65877,0.60429,0.69371,0.51138,1.20617,1.24257,1.42107,0.000105084,0.000105084,0.000105084
47,769.891,0.32099,0.37585,1.03464,0.67939,0.6432,0.69701,0.52367,1.18677,1.31136,1.40568,0.000104415,0.000104415,0.000104415
48,785.524,0.31398,0.37806,1.04114,0.62501,0.69528,0.65535,0.45108,1.449,1.38327,1.60362,0.000103746,0.000103746,0.000103746
49,800.561,0.31951,0.37345,1.04039,0.56159,0.68544,0.64618,0.47366,1.38926,1.39447,1.5793,0.000103076,0.000103076,0.000103076
50,815.875,0.30828,0.37533,1.03019,0.70593,0.60908,0.68016,0.4754,1.37268,1.40577,1.62049,0.000102407,0.000102407,0.000102407
51,831.19,0.31293,0.37385,1.03297,0.68877,0.61343,0.68736,0.48564,1.44768,1.32621,1.63516,0.000101738,0.000101738,0.000101738
