epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.82,1.03703,2.13248,1.79434,0.38701,0.33333,0.06549,0.06072,1.5132,4.0308,1.93865,0.0676967,0.000885135,0.000885135
2,205.393,0.66375,1.06197,1.4421,0.24884,0.40093,0.27206,0.23083,1.42357,3.57965,1.78432,0.0352436,0.00176535,0.00176535
3,288.117,0.56513,0.89251,1.32348,0.77926,0.42114,0.32968,0.24632,1.62165,2.30239,1.86898,0.0027817,0.00263677,0.00263677
4,371.271,0.48874,0.7783,1.24173,0.31992,0.49398,0.45997,0.34594,1.6921,2.4191,1.85318,0.0026274,0.0026274,0.0026274
5,454.7,0.47434,0.69136,1.23298,0.38165,0.6365,0.53033,0.39039,1.54905,2.18328,1.79227,0.00261419,0.00261419,0.00261419
6,538.293,0.44792,0.64211,1.21828,0.4671,0.55973,0.45679,0.33753,1.55057,1.96957,1.79361,0.00260099,0.00260099,0.00260099
7,621.53,0.45205,0.61595,1.20481,0.44213,0.65183,0.47746,0.34266,1.44296,1.66796,1.73022,0.00258779,0.00258779,0.00258779
8,704.753,0.42168,0.56241,1.17326,0.51207,0.60347,0.51762,0.39476,1.48613,1.61954,1.72271,0.00257459,0.00257459,0.00257459
9,788.362,0.42092,0.56142,1.17274,0.53394,0.57768,0.59472,0.44905,1.43849,1.51943,1.67206,0.00256139,0.00256139,0.00256139
10,872,0.41126,0.54253,1.16658,0.51001,0.58535,0.53474,0.39501,1.54634,1.64415,1.77027,0.00254819,0.00254819,0.00254819
11,955.311,0.4007,0.53145,1.15946,0.44704,0.66555,0.60217,0.44866,1.41146,1.46427,1.64445,0.00253498,0.00253498,0.00253498
12,1039.05,0.40519,0.51766,1.16551,0.58843,0.54461,0.57075,0.41799,1.54674,1.48751,1.76087,0.00252178,0.00252178,0.00252178
13,1122.39,0.39658,0.49908,1.15332,0.54507,0.72307,0.64338,0.44324,1.51846,1.41008,1.70484,0.00250858,0.00250858,0.00250858
14,1205.65,0.37827,0.47837,1.1343,0.57905,0.67041,0.61432,0.4462,1.38547,1.34224,1.63977,0.00249538,0.00249538,0.00249538
15,1288.92,0.3735,0.46265,1.13435,0.52543,0.71266,0.62165,0.46052,1.40033,1.33336,1.60861,0.00248218,0.00248218,0.00248218
16,1372.17,0.37208,0.46367,1.12909,0.59964,0.58931,0.61063,0.44902,1.39179,1.35166,1.66261,0.00246898,0.00246898,0.00246898
17,1455.45,0.37087,0.45403,1.13172,0.65239,0.66873,0.66538,0.46151,1.49844,1.33727,1.79313,0.00245577,0.00245577,0.00245577
18,1539.1,0.37216,0.45164,1.12932,0.63479,0.62503,0.64287,0.44339,1.45153,1.34072,1.70855,0.00244257,0.00244257,0.00244257
19,1622.28,0.37521,0.45823,1.13602,0.73874,0.67966,0.71586,0.49349,1.54332,1.25668,1.76004,0.00242937,0.00242937,0.00242937
20,1705.6,0.35427,0.44555,1.11879,0.58068,0.70177,0.66989,0.49547,1.42488,1.2381,1.68545,0.00241617,0.00241617,0.00241617
21,1788.76,0.33874,0.42767,1.09624,0.63,0.56137,0.61711,0.43792,1.55018,1.33276,1.76505,0.00240297,0.00240297,0.00240297
22,1871.74,0.34347,0.42531,1.10348,0.65377,0.5582,0.64397,0.44957,1.51435,1.35581,1.77232,0.00238977,0.00238977,0.00238977
23,1954.96,0.35105,0.42373,1.10505,0.57368,0.72388,0.68236,0.50836,1.3148,1.35552,1.55511,0.00237656,0.00237656,0.00237656
24,2038.22,0.3544,0.44289,1.11867,0.46756,0.72305,0.65111,0.48338,1.43965,1.46833,1.70493,0.00236336,0.00236336,0.00236336
25,2121.24,0.35645,0.44874,1.10503,0.60968,0.74518,0.70075,0.49709,1.49871,1.32802,1.76242,0.00235016,0.00235016,0.00235016
26,2204.43,0.33657,0.41402,1.09277,0.6263,0.63744,0.66946,0.49751,1.40316,1.30219,1.61839,0.00233696,0.00233696,0.00233696
27,2287.64,0.32374,0.4159,1.08374,0.66249,0.64116,0.6885,0.4833,1.43315,1.28656,1.69738,0.00232376,0.00232376,0.00232376
28,2370.84,0.33041,0.39877,1.09235,0.65563,0.70143,0.69187,0.48786,1.5212,1.19704,1.71164,0.00231056,0.00231056,0.00231056
29,2453.86,0.34041,0.41245,1.10195,0.62344,0.69854,0.64345,0.47942,1.26648,1.19849,1.53841,0.00229735,0.00229735,0.00229735
30,2537.11,0.3241,0.38918,1.0882,0.6728,0.6931,0.73149,0.52691,1.44317,1.15554,1.66764,0.00228415,0.00228415,0.00228415
31,2620.63,0.318,0.38873,1.08012,0.65897,0.68551,0.6804,0.47819,1.46715,1.22664,1.71231,0.00227095,0.00227095,0.00227095
32,2703.92,0.33147,0.40044,1.08927,0.60283,0.71239,0.67223,0.49519,1.3729,1.20936,1.61161,0.00225775,0.00225775,0.00225775
33,2787.07,0.33019,0.38657,1.08545,0.65617,0.624,0.65183,0.48843,1.35574,1.22699,1.58073,0.00224455,0.00224455,0.00224455
34,2870.14,0.3263,0.38823,1.08021,0.64767,0.67997,0.66629,0.5034,1.3114,1.18412,1.57402,0.00223135,0.00223135,0.00223135
35,2953.09,0.3177,0.3929,1.07328,0.59919,0.6917,0.698,0.53054,1.23324,1.25385,1.52376,0.00221814,0.00221814,0.00221814
36,3036.41,0.31556,0.36846,1.07366,0.58961,0.69689,0.68074,0.47647,1.4165,1.27592,1.65819,0.00220494,0.00220494,0.00220494
37,3119.58,0.32319,0.38778,1.08365,0.51234,0.7204,0.59995,0.44607,1.41226,1.3214,1.70231,0.00219174,0.00219174,0.00219174
38,3202.57,0.32376,0.39013,1.08302,0.58722,0.71589,0.63683,0.4773,1.24833,1.26317,1.52808,0.00217854,0.00217854,0.00217854
39,3285.76,0.3096,0.3652,1.07147,0.64427,0.68753,0.67838,0.49447,1.34831,1.19013,1.635,0.00216534,0.00216534,0.00216534
40,3368.67,0.30872,0.36265,1.06348,0.67915,0.65417,0.67479,0.47829,1.43903,1.26076,1.68598,0.00215214,0.00215214,0.00215214
41,3451.83,0.3175,0.36882,1.0736,0.73692,0.63591,0.6969,0.50496,1.3239,1.15474,1.61012,0.00213893,0.00213893,0.00213893
42,3534.99,0.30767,0.35102,1.06859,0.67435,0.70816,0.68006,0.49001,1.37245,1.21946,1.62252,0.00212573,0.00212573,0.00212573
43,3618.25,0.31171,0.36182,1.07165,0.69618,0.67584,0.69296,0.50282,1.33974,1.21156,1.63157,0.00211253,0.00211253,0.00211253
44,3701.38,0.31246,0.36561,1.07256,0.62046,0.66614,0.5941,0.4209,1.50483,1.49771,1.73559,0.00209933,0.00209933,0.00209933
45,3784.35,0.2976,0.3608,1.06508,0.60352,0.669,0.65964,0.45117,1.48032,1.31832,1.78018,0.00208613,0.00208613,0.00208613
46,3867.56,0.30248,0.35665,1.06468,0.59665,0.70165,0.67488,0.5038,1.35759,1.16481,1.6704,0.00207293,0.00207293,0.00207293
47,3950.82,0.30307,0.36017,1.06955,0.64178,0.7454,0.69158,0.47934,1.42454,1.20217,1.70163,0.00205972,0.00205972,0.00205972
48,4034,0.30468,0.3577,1.06835,0.71412,0.65745,0.71411,0.49843,1.35563,1.21516,1.65271,0.00204652,0.00204652,0.00204652
49,4117.18,0.30675,0.36098,1.07233,0.71487,0.63451,0.67234,0.48962,1.28177,1.29803,1.59884,0.00203332,0.00203332,0.00203332
50,4200.63,0.3026,0.35929,1.06582,0.629,0.69819,0.66346,0.49479,1.32089,1.23615,1.58208,0.00202012,0.00202012,0.00202012
51,4284.01,0.29239,0.34699,1.0531,0.69857,0.68063,0.72682,0.49362,1.43852,1.1604,1.66608,0.00200692,0.00200692,0.00200692
52,4367.21,0.29995,0.36234,1.06299,0.61727,0.67036,0.66812,0.46828,1.46322,1.24821,1.68073,0.00199372,0.00199372,0.00199372
53,4450.39,0.29782,0.35133,1.05864,0.70849,0.69021,0.69672,0.51323,1.40586,1.19927,1.67712,0.00198051,0.00198051,0.00198051
54,4533.38,0.29767,0.34995,1.06562,0.71812,0.65271,0.6873,0.50245,1.33746,1.14641,1.60324,0.00196731,0.00196731,0.00196731
55,4616.63,0.28669,0.33293,1.04959,0.76474,0.7218,0.74895,0.52657,1.36192,1.18257,1.60283,0.00195411,0.00195411,0.00195411
56,4699.83,0.2902,0.33336,1.05301,0.61069,0.74123,0.68418,0.50664,1.35943,1.29514,1.61559,0.00194091,0.00194091,0.00194091
57,4783,0.28935,0.34641,1.05879,0.72945,0.7117,0.6989,0.50715,1.30994,1.18738,1.6095,0.00192771,0.00192771,0.00192771
58,4866.21,0.2874,0.32429,1.0496,0.76246,0.75204,0.73873,0.52704,1.34566,1.11178,1.61869,0.00191451,0.00191451,0.00191451
59,4949.33,0.27933,0.32882,1.04871,0.68215,0.70059,0.69221,0.47865,1.51802,1.25637,1.7284,0.0019013,0.0019013,0.0019013
60,5032.66,0.28394,0.34168,1.05043,0.70497,0.70794,0.707,0.50486,1.34123,1.15472,1.62301,0.0018881,0.0018881,0.0018881
61,5115.76,0.28406,0.33959,1.05476,0.69349,0.69564,0.71151,0.49222,1.5099,1.28077,1.77156,0.0018749,0.0018749,0.0018749
