epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.5303,1.84968,4.95424,3.42203,0.72696,0.26667,0.09807,0.05728,3.29805,10.0893,4.67552,0.0705172,0.00327586,0.00327586
2,130.823,1.32684,1.9924,2.7431,0.60236,0.36643,0.2507,0.16858,3.44186,6.38826,4.30581,0.0404845,0.00657648,0.00657648
3,175.61,1.40082,1.87101,2.72677,0.2892,0.38144,0.21302,0.09895,3.87801,7.80186,4.43719,0.0104188,0.0098441,0.0098441
4,220.336,1.47261,1.81158,2.78675,0.21996,0.40541,0.2252,0.11655,4.10577,10.5557,5.38821,0.0098515,0.0098515,0.0098515
5,264.837,1.46856,1.78045,2.77938,0.25061,0.17634,0.15432,0.06881,4.22211,9.46648,5.43371,0.009802,0.009802,0.009802
6,309.409,1.41593,1.6879,2.7649,0.55085,0.43284,0.21448,0.14668,4.13178,9.52544,5.27774,0.0097525,0.0097525,0.0097525
7,353.837,1.4105,1.61956,2.7023,0.116,0.29994,0.13665,0.05198,4.28313,8.37412,5.29404,0.009703,0.009703,0.009703
8,398.38,1.38431,1.56569,2.6845,0.70759,0.41379,0.26154,0.16971,3.50418,10.1739,4.7534,0.0096535,0.0096535,0.0096535
9,443.03,1.38139,1.56495,2.68402,0.62975,0.32309,0.27022,0.13969,4.24072,5.74152,5.28663,0.009604,0.009604,0.009604
10,487.59,1.34355,1.53968,2.65227,0.74576,0.28333,0.13751,0.13072,4.59326,10.9732,6.01643,0.0095545,0.0095545,0.0095545
11,532.131,1.2957,1.49385,2.625,0.75091,0.31667,0.19515,0.1636,4.24854,13.5358,5.61037,0.009505,0.009505,0.009505
12,576.598,1.25906,1.50691,2.59211,0.39272,0.4885,0.28696,0.19934,3.47048,9.13744,4.91794,0.0094555,0.0094555,0.0094555
13,621.18,1.23407,1.46214,2.57729,0.24476,0.47445,0.25523,0.17743,3.7183,11.6185,4.977,0.009406,0.009406,0.009406
14,665.75,1.2109,1.42703,2.52186,0.32204,0.35621,0.25121,0.14413,3.87531,6.27393,5.39034,0.0093565,0.0093565,0.0093565
15,710.29,1.1978,1.35844,2.52342,0.2565,0.44543,0.30529,0.18829,4.00023,7.31838,5.26531,0.009307,0.009307,0.009307
16,754.8,1.18819,1.33902,2.52746,0.82134,0.23333,0.31399,0.23494,3.59391,7.43318,4.90457,0.0092575,0.0092575,0.0092575
17,799.243,1.14575,1.33428,2.49315,0.4425,0.44278,0.34492,0.24038,3.33797,5.66121,4.38839,0.009208,0.009208,0.009208
18,843.78,1.13453,1.34138,2.47726,0.49573,0.48803,0.39594,0.27752,3.34201,4.40832,4.50845,0.0091585,0.0091585,0.0091585
19,888.357,1.16607,1.36236,2.52144,0.32564,0.50715,0.34658,0.22479,3.61404,5.7784,4.70963,0.009109,0.009109,0.009109
20,932.937,1.14949,1.29878,2.49089,0.75821,0.38583,0.38533,0.26381,3.48723,5.45487,4.54453,0.0090595,0.0090595,0.0090595
21,977.53,1.07495,1.26627,2.4046,0.39969,0.50342,0.45487,0.33618,3.42215,4.61129,4.51995,0.00901,0.00901,0.00901
22,1022.25,1.08412,1.28262,2.44899,0.30239,0.51337,0.30055,0.20231,3.5018,6.5163,4.74502,0.0089605,0.0089605,0.0089605
23,1066.75,1.09245,1.28517,2.45534,0.32938,0.57991,0.44065,0.29519,3.35547,4.74488,4.4573,0.008911,0.008911,0.008911
24,1111.54,1.03961,1.24229,2.40692,0.34479,0.4437,0.34748,0.23773,3.47643,4.50258,4.68073,0.0088615,0.0088615,0.0088615
25,1156.35,1.07506,1.27976,2.42531,0.45256,0.46928,0.41256,0.29528,3.46184,4.53212,4.53871,0.008812,0.008812,0.008812
26,1201.11,1.03502,1.2178,2.41052,0.83653,0.28333,0.39864,0.29834,3.78466,6.76014,5.09192,0.0087625,0.0087625,0.0087625
27,1245.58,1.00269,1.18754,2.37797,0.25926,0.54283,0.31995,0.20933,3.41377,5.90434,4.59481,0.008713,0.008713,0.008713
28,1290.35,1.04778,1.2603,2.41137,0.73482,0.46766,0.46387,0.33065,3.52306,4.75568,4.67712,0.0086635,0.0086635,0.0086635
29,1334.96,0.99212,1.18919,2.36963,0.39435,0.47118,0.36086,0.2217,3.62839,4.89159,4.69915,0.008614,0.008614,0.008614
30,1379.49,1.00314,1.14749,2.37706,0.29282,0.4671,0.35351,0.25982,3.95453,6.65747,5.35184,0.0085645,0.0085645,0.0085645
31,1424.09,0.96346,1.14216,2.36376,0.36041,0.53156,0.38238,0.2871,3.38266,5.71061,4.58941,0.008515,0.008515,0.008515
32,1468.65,0.98623,1.17057,2.35625,0.3416,0.47876,0.4336,0.27056,3.58252,4.60856,4.58176,0.0084655,0.0084655,0.0084655
33,1513.22,0.98395,1.12063,2.36426,0.45023,0.55914,0.52091,0.34613,3.71367,4.39945,4.74528,0.008416,0.008416,0.008416
34,1558.06,0.97773,1.13482,2.36528,0.41737,0.57256,0.44704,0.29013,3.39601,4.29322,4.42669,0.0083665,0.0083665,0.0083665
35,1602.76,0.94852,1.13792,2.33452,0.36415,0.57447,0.44014,0.29156,3.33419,4.47149,4.33996,0.008317,0.008317,0.008317
36,1647.57,0.95967,1.10667,2.35021,0.4149,0.5716,0.48192,0.33222,3.25396,3.73052,4.2481,0.0082675,0.0082675,0.0082675
37,1692.36,0.92642,1.13911,2.31703,0.72534,0.45808,0.48911,0.35775,3.11513,3.63096,4.1583,0.008218,0.008218,0.008218
38,1737.15,0.9359,1.15765,2.34484,0.46437,0.61159,0.52859,0.35719,3.58872,3.62616,4.66357,0.0081685,0.0081685,0.0081685
39,1782.05,0.91058,1.03255,2.29954,0.39028,0.41484,0.32652,0.22884,3.48226,5.52103,4.72801,0.008119,0.008119,0.008119
40,1826.84,0.92787,1.12134,2.31887,0.51124,0.4959,0.43282,0.29073,3.27967,4.21535,4.21669,0.0080695,0.0080695,0.0080695
41,1871.58,0.92303,1.07179,2.31041,0.43815,0.49045,0.45153,0.32215,3.52608,4.10903,4.46947,0.00802,0.00802,0.00802
42,1916.21,0.91865,1.05118,2.31772,0.38482,0.51771,0.38829,0.24414,3.31835,3.98206,4.25054,0.0079705,0.0079705,0.0079705
43,1960.9,0.90445,1.09521,2.30395,0.39117,0.532,0.44736,0.29854,3.89894,5.5488,5.04819,0.007921,0.007921,0.007921
44,2005.47,0.91732,1.06872,2.32805,0.45445,0.50669,0.42522,0.31261,3.34436,5.74145,4.41356,0.0078715,0.0078715,0.0078715
45,2050.07,0.87208,1.02311,2.29229,0.2767,0.3195,0.2696,0.1383,3.60569,4.51146,4.5858,0.007822,0.007822,0.007822
46,2094.71,0.91036,1.06917,2.32152,0.41921,0.5578,0.47547,0.32008,3.48028,3.60905,4.55719,0.0077725,0.0077725,0.0077725
47,2139.53,0.88183,1.042,2.30003,0.4531,0.55075,0.5434,0.39411,3.21621,3.22653,4.01077,0.007723,0.007723,0.007723
48,2184.21,0.8971,1.07088,2.30667,0.41466,0.55487,0.43609,0.30622,3.29292,3.7995,4.30914,0.0076735,0.0076735,0.0076735
49,2228.82,0.90039,1.05202,2.30651,0.41929,0.4842,0.43725,0.31789,3.31385,3.83387,4.2526,0.007624,0.007624,0.007624
50,2273.72,0.87457,1.03798,2.2945,0.52547,0.54179,0.50591,0.36134,3.30541,3.94624,4.33049,0.0075745,0.0075745,0.0075745
51,2318.43,0.85684,1.02477,2.27972,0.42304,0.51881,0.47485,0.35955,3.48224,4.12297,4.60513,0.007525,0.007525,0.007525
52,2363.06,0.84352,1.00986,2.26277,0.33276,0.60075,0.48551,0.35537,3.17314,4.18369,4.15462,0.0074755,0.0074755,0.0074755
53,2407.62,0.86944,1.05204,2.30167,0.38863,0.55201,0.44929,0.31422,3.27645,3.60882,4.26149,0.007426,0.007426,0.007426
54,2452.25,0.86067,1.02604,2.28168,0.47401,0.49925,0.49053,0.3272,3.3524,3.56769,4.3398,0.0073765,0.0073765,0.0073765
55,2497.03,0.84126,1.00298,2.26435,0.42106,0.52205,0.46765,0.32963,3.16841,3.39406,4.11836,0.007327,0.007327,0.007327
56,2541.69,0.88452,1.01431,2.28611,0.41192,0.62991,0.48945,0.37092,3.00426,3.27115,3.90916,0.0072775,0.0072775,0.0072775
57,2586.17,0.86714,0.99872,2.2919,0.4308,0.5004,0.43361,0.31409,3.60358,4.53393,4.58548,0.007228,0.007228,0.007228
58,2630.99,0.85195,0.99364,2.26632,0.40364,0.53896,0.38857,0.26628,3.50541,4.98843,4.46012,0.0071785,0.0071785,0.0071785
59,2675.59,0.83249,0.97216,2.26709,0.47701,0.50665,0.42361,0.2764,3.32439,3.72663,4.17673,0.007129,0.007129,0.007129
60,2720.23,0.81288,0.96946,2.2327,0.36319,0.541,0.47078,0.31978,3.47341,3.96055,4.42322,0.0070795,0.0070795,0.0070795
61,2764.81,0.82296,0.96537,2.24661,0.54423,0.58638,0.5065,0.32134,3.19466,3.27412,4.08236,0.00703,0.00703,0.00703
62,2809.46,0.84682,1.00328,2.28292,0.55808,0.56337,0.54548,0.35942,3.24806,3.30568,4.15235,0.0069805,0.0069805,0.0069805
63,2854.31,0.83322,0.95744,2.25943,0.60261,0.51239,0.55127,0.3912,3.26543,3.45856,4.21994,0.006931,0.006931,0.006931
64,2899.19,0.82788,0.97283,2.25359,0.45545,0.65289,0.55858,0.39226,3.11369,3.38232,4.0258,0.0068815,0.0068815,0.0068815
65,2943.81,0.80359,0.98441,2.2457,0.4251,0.6365,0.59769,0.42575,3.21741,3.46646,4.08585,0.006832,0.006832,0.006832
66,2988.67,0.80726,0.9658,2.24544,0.33,0.61751,0.55443,0.37579,3.07786,4.46702,3.93015,0.0067825,0.0067825,0.0067825
67,3033.15,0.77987,0.92383,2.23669,0.43433,0.64049,0.57857,0.37404,3.33308,3.3988,4.21463,0.006733,0.006733,0.006733
68,3077.93,0.78558,0.94861,2.21869,0.50999,0.47569,0.49064,0.3498,3.25706,3.76027,4.176,0.0066835,0.0066835,0.0066835
69,3122.54,0.81506,0.96782,2.24249,0.77364,0.46766,0.56066,0.41393,2.94393,3.57137,3.76857,0.006634,0.006634,0.006634
70,3167.2,0.78322,0.95936,2.20679,0.48485,0.57043,0.56881,0.42361,3.08813,3.95281,4.00716,0.0065845,0.0065845,0.0065845
71,3211.86,0.78094,0.95296,2.21285,0.43227,0.61614,0.59896,0.43411,3.11856,3.63475,3.94175,0.006535,0.006535,0.006535
72,3256.82,0.80592,0.96582,2.23928,0.48372,0.574,0.59904,0.43003,3.03627,3.49782,3.79422,0.0064855,0.0064855,0.0064855
73,3301.45,0.79835,0.92531,2.24515,0.60349,0.606,0.64207,0.45004,3.13054,3.20725,4.04399,0.006436,0.006436,0.006436
74,3346.12,0.78909,0.94974,2.23283,0.58572,0.53212,0.57901,0.38751,3.43203,3.46682,4.23479,0.0063865,0.0063865,0.0063865
75,3390.75,0.77732,0.92331,2.21312,0.41713,0.64298,0.59435,0.44258,3.07422,3.283,3.9345,0.006337,0.006337,0.006337
76,3435.39,0.79267,0.94412,2.23984,0.55388,0.61121,0.61979,0.42283,3.32405,3.27166,4.20193,0.0062875,0.0062875,0.0062875
77,3479.92,0.75418,0.90404,2.20337,0.48137,0.64785,0.5999,0.46409,2.8842,3.4211,3.77454,0.006238,0.006238,0.006238
78,3524.49,0.76763,0.94063,2.21159,0.44592,0.62958,0.57034,0.41157,2.95449,3.19299,3.8395,0.0061885,0.0061885,0.0061885
79,3569.09,0.76469,0.89239,2.20618,0.58439,0.60236,0.60219,0.38726,3.35749,3.15244,4.1993,0.006139,0.006139,0.006139
80,3613.49,0.76366,0.89941,2.2042,0.45946,0.61791,0.57213,0.39751,3.27549,3.06393,4.16774,0.0060895,0.0060895,0.0060895
