epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.3458,1.9699,6.6526,3.52719,0.60625,0.38134,0.15988,0.1312,3.58686,6.94941,4.53494,0.0705172,0.00327586,0.00327586
2,136.835,1.29219,1.94563,2.72251,0.24187,0.43246,0.2282,0.09807,3.82344,6.28805,4.55059,0.0404845,0.00657648,0.00657648
3,182.786,1.40719,1.86946,2.76266,0.19501,0.42627,0.1395,0.0472,4.6709,12.4857,5.48847,0.0104188,0.0098441,0.0098441
4,230.014,1.49871,1.74131,2.78343,0.16706,0.35669,0.09399,0.04006,4.20503,7.55703,5.54636,0.0098515,0.0098515,0.0098515
5,276.582,1.50172,1.8011,2.79975,0.74472,0.24969,0.10262,0.09182,4.63348,9.3821,6.3196,0.009802,0.009802,0.009802
6,323.226,1.39952,1.67706,2.75831,0.06487,0.26816,0.04529,0.01171,5.27799,11.4573,6.6323,0.0097525,0.0097525,0.0097525
7,369.87,1.42283,1.62763,2.72412,0.19048,0.53918,0.26557,0.11673,3.804,8.58698,4.85203,0.009703,0.009703,0.009703
8,416.289,1.33657,1.53646,2.63678,0.12782,0.33274,0.06355,0.03024,4.18871,9.32738,5.33973,0.0096535,0.0096535,0.0096535
9,462.78,1.32596,1.54174,2.63632,0.23847,0.42786,0.24224,0.17405,4.01858,11.2762,5.42592,0.009604,0.009604,0.009604
10,509.341,1.32004,1.44552,2.62145,0.14568,0.35693,0.07298,0.04271,4.55225,8.81501,5.74967,0.0095545,0.0095545,0.0095545
11,556.138,1.26424,1.46845,2.6115,0.79249,0.33245,0.3078,0.20169,4.31377,7.4285,5.50934,0.009505,0.009505,0.009505
12,602.805,1.20781,1.41461,2.52502,0.19516,0.4532,0.21921,0.14297,3.71368,7.81761,5.11446,0.0094555,0.0094555,0.0094555
13,649.069,1.22253,1.40911,2.55239,0.28663,0.39649,0.28669,0.15997,4.01496,6.3261,5.19806,0.009406,0.009406,0.009406
14,695.555,1.20374,1.3826,2.51155,0.386,0.35946,0.34635,0.22633,3.81072,4.8156,4.92876,0.0093565,0.0093565,0.0093565
15,742.038,1.15714,1.35469,2.47814,0.29443,0.50482,0.37714,0.26609,3.73501,6.74499,4.72467,0.009307,0.009307,0.009307
16,788.642,1.1692,1.3167,2.51056,0.25712,0.51073,0.33633,0.23241,3.96296,5.73691,5.02313,0.0092575,0.0092575,0.0092575
17,835.066,1.12511,1.3068,2.46986,0.21778,0.51816,0.23437,0.09163,3.6496,7.18571,4.78236,0.009208,0.009208,0.009208
18,881.459,1.12994,1.29105,2.47183,0.37088,0.49036,0.37362,0.26682,3.20848,5.38159,4.29978,0.0091585,0.0091585,0.0091585
19,927.93,1.16003,1.35424,2.52837,0.69794,0.41405,0.47624,0.32248,3.74352,5.58405,4.7122,0.009109,0.009109,0.009109
20,974.447,1.121,1.22404,2.46819,0.69105,0.44279,0.47335,0.36101,3.49747,5.51595,4.5531,0.0090595,0.0090595,0.0090595
21,1021.12,1.04392,1.23968,2.38818,0.82201,0.42438,0.4559,0.32621,3.42272,4.30361,4.37305,0.00901,0.00901,0.00901
22,1067.47,1.06876,1.29167,2.43825,0.4078,0.52052,0.36948,0.21052,3.44649,4.3899,4.5568,0.0089605,0.0089605,0.0089605
23,1113.72,1.08764,1.27829,2.45093,0.32758,0.5171,0.21021,0.12822,3.88608,6.85328,4.7923,0.008911,0.008911,0.008911
24,1160.15,1.05205,1.23418,2.40839,0.44598,0.50712,0.39872,0.25842,3.4054,4.19579,4.25635,0.0088615,0.0088615,0.0088615
25,1206.48,1.07767,1.32093,2.44224,0.46657,0.50435,0.51062,0.39615,3.19427,4.3473,4.09852,0.008812,0.008812,0.008812
26,1252.89,1.04823,1.17151,2.40826,0.28526,0.52783,0.44065,0.3179,3.26105,4.31496,4.47035,0.0087625,0.0087625,0.0087625
27,1299.23,1.00606,1.20336,2.38324,0.52914,0.50746,0.3637,0.25389,3.1845,7.33797,4.44111,0.008713,0.008713,0.008713
28,1345.62,1.06088,1.26254,2.41447,0.23148,0.54565,0.34655,0.22395,3.61551,5.66487,4.65296,0.0086635,0.0086635,0.0086635
29,1391.93,0.98284,1.17407,2.3674,0.34251,0.59658,0.43835,0.28412,3.7279,4.91606,4.82725,0.008614,0.008614,0.008614
30,1438.17,0.99309,1.14848,2.37715,0.3225,0.50953,0.41928,0.30497,3.66176,5.19379,4.76434,0.0085645,0.0085645,0.0085645
31,1484.45,0.98405,1.12976,2.36917,0.36148,0.59781,0.46733,0.27138,3.48564,4.24922,4.43211,0.008515,0.008515,0.008515
32,1530.78,0.97866,1.15363,2.33877,0.36897,0.60021,0.44679,0.28906,3.33601,3.77896,4.22074,0.0084655,0.0084655,0.0084655
33,1577.02,0.99392,1.14418,2.37731,0.3871,0.56779,0.45458,0.29865,3.47066,4.52687,4.51177,0.008416,0.008416,0.008416
34,1623.35,0.98869,1.16625,2.37567,0.40716,0.59457,0.42688,0.25904,3.56505,4.56878,4.54125,0.0083665,0.0083665,0.0083665
35,1669.8,0.94449,1.15084,2.33105,0.40247,0.3895,0.3485,0.19825,3.6526,4.36863,4.38355,0.008317,0.008317,0.008317
36,1716.36,0.95965,1.12677,2.33278,0.3388,0.5946,0.4568,0.2941,3.41744,3.94518,4.40541,0.0082675,0.0082675,0.0082675
37,1762.73,0.94787,1.11383,2.34017,0.57544,0.59356,0.51269,0.32739,3.27327,3.57063,4.2313,0.008218,0.008218,0.008218
38,1809.02,0.97288,1.15315,2.36997,0.41828,0.50302,0.45616,0.27809,3.45245,3.5982,4.40737,0.0081685,0.0081685,0.0081685
39,1855.32,0.92192,1.04969,2.3089,0.44311,0.37106,0.35847,0.26014,3.78004,6.18884,4.75585,0.008119,0.008119,0.008119
40,1901.84,0.92378,1.07261,2.31023,0.34495,0.47726,0.51567,0.38323,3.35022,4.0632,4.20662,0.0080695,0.0080695,0.0080695
41,1948.2,0.92791,1.06072,2.32147,0.74074,0.43467,0.499,0.34072,3.42988,4.13453,4.36338,0.00802,0.00802,0.00802
42,1994.51,0.89847,1.05989,2.30573,0.37325,0.44655,0.38219,0.27376,3.19204,4.25495,4.2883,0.0079705,0.0079705,0.0079705
43,2041,0.91396,1.09944,2.29551,0.37846,0.56741,0.45049,0.29252,3.51244,4.35305,4.59631,0.007921,0.007921,0.007921
44,2087.46,0.89575,1.05793,2.31597,0.69637,0.42427,0.44045,0.31074,3.34461,5.01498,4.41153,0.0078715,0.0078715,0.0078715
45,2133.66,0.88196,1.04095,2.30373,0.78714,0.41836,0.48785,0.34204,3.67245,3.94552,5.08729,0.007822,0.007822,0.007822
46,2179.81,0.94093,1.08445,2.34203,0.40368,0.50169,0.40008,0.27381,3.66563,4.36074,4.82781,0.0077725,0.0077725,0.0077725
47,2226.16,0.87609,1.03818,2.27313,0.47683,0.44866,0.45895,0.31446,3.38091,3.91878,4.37397,0.007723,0.007723,0.007723
48,2272.36,0.88789,1.03152,2.30457,0.37553,0.51788,0.43401,0.29794,3.30443,3.55097,4.21942,0.0076735,0.0076735,0.0076735
49,2318.64,0.91267,1.03918,2.30673,0.4175,0.59866,0.51397,0.35264,3.26527,3.36929,4.12809,0.007624,0.007624,0.007624
50,2364.94,0.88451,1.06006,2.28908,0.4476,0.57524,0.51142,0.36621,3.27898,4.26478,4.28376,0.0075745,0.0075745,0.0075745
51,2411.02,0.8637,1.05094,2.28063,0.45075,0.5578,0.54055,0.38754,3.37512,3.37661,4.348,0.007525,0.007525,0.007525
52,2457.27,0.85029,1.01118,2.25867,0.34371,0.60121,0.46481,0.3259,3.54432,4.15855,4.50856,0.0074755,0.0074755,0.0074755
53,2503.43,0.87294,1.05625,2.30945,0.39366,0.54335,0.47957,0.3459,3.36904,4.02997,4.33425,0.007426,0.007426,0.007426
54,2549.69,0.85796,1.04815,2.29161,0.43491,0.67736,0.54292,0.3655,3.31654,3.40241,4.09449,0.0073765,0.0073765,0.0073765
55,2596.13,0.83834,0.99235,2.25466,0.5812,0.57655,0.53622,0.37891,3.20365,3.25927,4.10807,0.007327,0.007327,0.007327
