epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.8329,1.47681,2.82034,2.97333,0.61027,0.3519,0.18177,0.15177,3.04715,7.01663,4.33714,0.0669809,2.43597e-05,2.43597e-05
2,149.474,1.0401,1.50898,2.52328,0.47675,0.42793,0.41415,0.28383,3.26272,4.89324,4.10118,0.0336719,4.86908e-05,4.86908e-05
3,198.734,0.99906,1.4486,2.49206,0.44809,0.50168,0.47685,0.35909,2.97703,4.52158,3.79708,0.000362634,7.27786e-05,7.27786e-05
4,248.286,0.93957,1.27371,2.4187,0.41509,0.51035,0.44985,0.33872,3.24094,3.90735,3.98787,7.26253e-05,7.26253e-05,7.26253e-05
5,297.259,0.93606,1.31906,2.43147,0.64855,0.48312,0.47774,0.34533,3.00221,3.69719,3.81428,7.22603e-05,7.22603e-05,7.22603e-05
6,346.042,0.90632,1.2051,2.40185,0.52257,0.45003,0.51699,0.36416,3.13089,4.5493,3.9001,7.18954e-05,7.18954e-05,7.18954e-05
7,394.83,0.84608,1.15991,2.34539,0.42172,0.55702,0.55143,0.412,2.96508,3.66923,3.73789,7.15305e-05,7.15305e-05,7.15305e-05
8,443.777,0.83004,1.05672,2.32183,0.38539,0.57098,0.4427,0.31879,2.96999,3.81266,3.65346,7.11656e-05,7.11656e-05,7.11656e-05
9,492.326,0.84303,1.09795,2.33125,0.50163,0.58372,0.50687,0.35251,3.10367,3.44719,3.8337,7.08007e-05,7.08007e-05,7.08007e-05
10,541.058,0.8486,1.09935,2.33856,0.5797,0.59313,0.53811,0.37372,2.97666,3.00318,3.68108,7.04358e-05,7.04358e-05,7.04358e-05
11,589.723,0.81612,1.09062,2.31427,0.45544,0.59633,0.46092,0.30452,3.04479,3.40626,3.74969,7.00709e-05,7.00709e-05,7.00709e-05
12,638.423,0.82867,1.03512,2.32771,0.60718,0.68895,0.61049,0.4042,3.28466,3.05609,3.86017,6.97059e-05,6.97059e-05,6.97059e-05
13,686.94,0.79807,0.98557,2.2991,0.60101,0.65164,0.585,0.39722,3.32551,3.22744,3.84048,6.9341e-05,6.9341e-05,6.9341e-05
14,735.725,0.77175,0.98105,2.26155,0.57905,0.50849,0.52224,0.32419,3.22256,3.2747,3.93609,6.89761e-05,6.89761e-05,6.89761e-05
15,784.494,0.77876,0.9775,2.27544,0.65652,0.59229,0.65785,0.46738,3.08184,2.8186,3.71477,6.86112e-05,6.86112e-05,6.86112e-05
16,833.445,0.77452,0.99309,2.2755,0.53121,0.6605,0.64097,0.46383,2.96686,2.93166,3.73407,6.82463e-05,6.82463e-05,6.82463e-05
17,882.11,0.76407,0.98512,2.2662,0.58459,0.58464,0.59829,0.42821,3.23052,2.95931,3.87487,6.78814e-05,6.78814e-05,6.78814e-05
18,930.839,0.77656,0.9449,2.28013,0.56785,0.60768,0.59359,0.43048,3.01876,2.87961,3.74421,6.75165e-05,6.75165e-05,6.75165e-05
