epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.712,1.5037,2.77375,2.98939,0.57482,0.30549,0.17013,0.14566,3.39764,7.67545,4.58223,0.0669809,2.43597e-05,2.43597e-05
2,155.692,1.05419,1.53575,2.53968,0.37916,0.40712,0.37428,0.27703,3.31934,4.67601,4.2234,0.0336719,4.86908e-05,4.86908e-05
3,206.128,0.99905,1.42151,2.49003,0.57988,0.42901,0.44737,0.34223,2.79829,3.88169,3.65036,0.000362634,7.27786e-05,7.27786e-05
4,257.443,0.94446,1.25883,2.42728,0.73461,0.50224,0.46979,0.35314,2.82469,3.54343,3.63838,7.26253e-05,7.26253e-05,7.26253e-05
5,309.317,0.90845,1.28408,2.40534,0.67653,0.49611,0.49716,0.35774,3.01998,3.44616,3.74616,7.22603e-05,7.22603e-05,7.22603e-05
6,361.272,0.89889,1.18958,2.4035,0.44806,0.57602,0.51016,0.39293,2.91838,3.27887,3.64632,7.18954e-05,7.18954e-05,7.18954e-05
7,413.931,0.85169,1.16959,2.35485,0.55759,0.6262,0.58104,0.43399,2.96983,2.98427,3.74564,7.15305e-05,7.15305e-05,7.15305e-05
8,466.653,0.85438,1.0731,2.35383,0.48592,0.5409,0.47372,0.35281,2.95906,3.44992,3.76235,7.11656e-05,7.11656e-05,7.11656e-05
9,519.333,0.85468,1.08518,2.33457,0.56534,0.59211,0.53134,0.39462,3.11168,3.50354,3.83042,7.08007e-05,7.08007e-05,7.08007e-05
10,572.234,0.85132,1.12656,2.34533,0.56676,0.6034,0.53667,0.40253,2.86287,3.61056,3.60676,7.04358e-05,7.04358e-05,7.04358e-05
11,624.928,0.81471,1.07178,2.31663,0.5971,0.60386,0.61458,0.4529,2.92004,3.21623,3.57246,7.00709e-05,7.00709e-05,7.00709e-05
12,677.824,0.80432,1.01253,2.3152,0.63011,0.59646,0.60125,0.45418,2.86243,2.87352,3.57826,6.97059e-05,6.97059e-05,6.97059e-05
13,730.825,0.81819,1.03432,2.3139,0.48001,0.59913,0.57463,0.39723,3.10834,3.45039,3.7825,6.9341e-05,6.9341e-05,6.9341e-05
14,783.984,0.79067,1.00254,2.2871,0.56372,0.61407,0.57314,0.39792,3.07596,3.03017,3.76395,6.89761e-05,6.89761e-05,6.89761e-05
15,837.11,0.76299,0.97337,2.27264,0.39617,0.59464,0.55215,0.39689,3.08989,3.11665,3.76861,6.86112e-05,6.86112e-05,6.86112e-05
16,890.048,0.76147,0.96277,2.26717,0.63272,0.65339,0.62919,0.45773,2.66288,2.99735,3.45113,6.82463e-05,6.82463e-05,6.82463e-05
17,943.151,0.75489,0.96979,2.25881,0.63843,0.6203,0.61735,0.42301,3.23143,3.14742,3.97903,6.78814e-05,6.78814e-05,6.78814e-05
18,996.238,0.78377,0.97691,2.28915,0.79997,0.50903,0.58844,0.44109,2.82335,3.11852,3.69713,6.75165e-05,6.75165e-05,6.75165e-05
19,1049.02,0.79179,0.97051,2.29646,0.60271,0.65145,0.62794,0.4257,3.32662,3.06389,3.98216,6.71515e-05,6.71515e-05,6.71515e-05
20,1101.79,0.7536,0.94216,2.2459,0.56204,0.63255,0.61359,0.44961,2.89906,3.1876,3.70281,6.67866e-05,6.67866e-05,6.67866e-05
21,1154.8,0.7261,0.90153,2.2347,0.56204,0.70866,0.6451,0.45889,2.85008,2.94822,3.57707,6.64217e-05,6.64217e-05,6.64217e-05
22,1207.7,0.70849,0.89389,2.22409,0.60991,0.55915,0.57772,0.39107,2.97914,3.09463,3.82353,6.60568e-05,6.60568e-05,6.60568e-05
23,1260.49,0.71327,0.92921,2.22928,0.70059,0.62783,0.69022,0.47122,3.09618,2.67885,3.72782,6.56919e-05,6.56919e-05,6.56919e-05
24,1313.52,0.73474,0.9071,2.25067,0.55508,0.62111,0.58911,0.4409,2.91085,3.02545,3.60265,6.5327e-05,6.5327e-05,6.5327e-05
25,1366.33,0.72227,0.9169,2.22692,0.63075,0.59609,0.5794,0.44363,2.71322,3.15789,3.47388,6.49621e-05,6.49621e-05,6.49621e-05
26,1418.98,0.70877,0.86704,2.21649,0.62742,0.56948,0.62492,0.46832,2.73285,2.92506,3.3795,6.45972e-05,6.45972e-05,6.45972e-05
27,1471.95,0.69947,0.88419,2.21702,0.54537,0.71253,0.64386,0.4456,2.97942,2.77261,3.65256,6.42322e-05,6.42322e-05,6.42322e-05
28,1525.45,0.69974,0.87227,2.21868,0.55824,0.63025,0.60679,0.43977,2.88908,2.75383,3.64283,6.38673e-05,6.38673e-05,6.38673e-05
29,1578.41,0.71148,0.87696,2.23477,0.66138,0.55338,0.61152,0.43695,2.96654,2.88053,3.58884,6.35024e-05,6.35024e-05,6.35024e-05
30,1631.18,0.68454,0.86271,2.20756,0.60869,0.69895,0.69755,0.4807,3.00555,2.56029,3.71188,6.31375e-05,6.31375e-05,6.31375e-05
31,1684.12,0.68387,0.79092,2.19529,0.56962,0.66314,0.62345,0.44421,2.81998,2.65749,3.43885,6.27726e-05,6.27726e-05,6.27726e-05
32,1737.08,0.67324,0.81629,2.18563,0.59224,0.6213,0.59593,0.41363,3.06018,2.72714,3.77584,6.24077e-05,6.24077e-05,6.24077e-05
33,1789.9,0.65214,0.79586,2.18215,0.68241,0.60912,0.61005,0.42413,3.06228,2.96866,3.72297,6.20428e-05,6.20428e-05,6.20428e-05
34,1842.48,0.66597,0.80377,2.18428,0.60755,0.60989,0.61195,0.45301,2.76169,2.96299,3.48511,6.16778e-05,6.16778e-05,6.16778e-05
