epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.9782,1.56454,3.24768,2.94877,0.18155,0.38355,0.2023,0.12264,4.37075,8.48114,4.90968,0.0672635,2.21153e-05,2.21153e-05
2,89.5256,1.01905,1.48965,2.41059,0.41344,0.22418,0.28103,0.18848,3.45068,6.02148,4.18509,0.0339524,4.43978e-05,4.43978e-05
3,116.91,0.98217,1.33776,2.38083,0.3535,0.58085,0.46514,0.3443,3.33588,4.28669,3.74629,0.00064117,6.64575e-05,6.64575e-05
4,144.494,0.91199,1.22305,2.33165,0.46628,0.52958,0.49994,0.35801,3.15453,3.69103,3.72641,6.65075e-05,6.65075e-05,6.65075e-05
5,172.011,0.89129,1.20625,2.28691,0.37702,0.50063,0.37853,0.19904,3.35216,3.83533,3.86469,6.61733e-05,6.61733e-05,6.61733e-05
6,199.475,0.85683,1.09572,2.2833,0.44735,0.56614,0.53478,0.4003,3.03049,3.39846,3.5201,6.58391e-05,6.58391e-05,6.58391e-05
7,227.303,0.86481,1.09064,2.2881,0.54019,0.6078,0.57938,0.42539,3.09535,3.46259,3.53655,6.5505e-05,6.5505e-05,6.5505e-05
8,255.05,0.8279,1.04304,2.25479,0.50436,0.66124,0.58524,0.39207,3.45831,3.0155,3.92792,6.51708e-05,6.51708e-05,6.51708e-05
9,282.676,0.84548,1.03491,2.28758,0.55704,0.63349,0.63395,0.45582,2.90632,2.88386,3.45328,6.48366e-05,6.48366e-05,6.48366e-05
10,310.489,0.81149,0.99891,2.25966,0.52495,0.6578,0.563,0.38367,3.0959,3.24461,3.56772,6.45024e-05,6.45024e-05,6.45024e-05
11,338.098,0.82111,0.98809,2.28677,0.49536,0.49762,0.49564,0.28602,3.1371,3.25242,3.61078,6.41683e-05,6.41683e-05,6.41683e-05
12,365.475,0.80671,0.96347,2.25246,0.50079,0.68952,0.64894,0.46309,2.92213,3.00255,3.41414,6.38341e-05,6.38341e-05,6.38341e-05
13,393.096,0.76543,0.91054,2.22097,0.60004,0.63535,0.61613,0.41835,3.01439,3.17919,3.41485,6.34999e-05,6.34999e-05,6.34999e-05
14,420.69,0.74706,0.93886,2.20426,0.67881,0.61711,0.6905,0.44178,3.23747,3.05576,3.82867,6.31657e-05,6.31657e-05,6.31657e-05
15,448.142,0.75237,0.90043,2.20707,0.59588,0.61443,0.62505,0.43668,2.85331,2.79519,3.3285,6.28316e-05,6.28316e-05,6.28316e-05
16,475.738,0.74737,0.89351,2.20339,0.58728,0.69958,0.64029,0.45226,2.77854,2.69247,3.27468,6.24974e-05,6.24974e-05,6.24974e-05
17,503.315,0.74266,0.89567,2.19316,0.5126,0.71845,0.62346,0.44124,2.86596,2.98185,3.36332,6.21632e-05,6.21632e-05,6.21632e-05
18,530.91,0.70272,0.88243,2.17961,0.59725,0.63905,0.6395,0.4475,3.03559,2.70552,3.53219,6.1829e-05,6.1829e-05,6.1829e-05
19,558.42,0.73756,0.92213,2.21684,0.58698,0.64101,0.62219,0.42057,2.88376,2.65301,3.36194,6.14949e-05,6.14949e-05,6.14949e-05
20,586.024,0.73203,0.86419,2.19302,0.59742,0.63396,0.63176,0.4561,2.70993,2.85531,3.28115,6.11607e-05,6.11607e-05,6.11607e-05
21,613.459,0.68876,0.8726,2.16433,0.671,0.60628,0.63673,0.48711,2.58326,2.6944,3.14923,6.08265e-05,6.08265e-05,6.08265e-05
22,640.979,0.72074,0.87423,2.18564,0.59278,0.55087,0.59334,0.42732,3.02617,2.99441,3.46479,6.04923e-05,6.04923e-05,6.04923e-05
23,668.44,0.70786,0.83335,2.16609,0.76915,0.57957,0.66856,0.4722,2.81215,2.69174,3.29522,6.01582e-05,6.01582e-05,6.01582e-05
24,695.746,0.67909,0.83257,2.15111,0.63099,0.61428,0.64258,0.48502,2.83374,2.63322,3.26841,5.9824e-05,5.9824e-05,5.9824e-05
25,723.198,0.73054,0.90106,2.18509,0.62037,0.68811,0.68557,0.48966,2.76793,2.72571,3.26733,5.94898e-05,5.94898e-05,5.94898e-05
26,750.919,0.71753,0.82411,2.18236,0.51367,0.66479,0.5854,0.4418,2.63535,3.39614,3.21323,5.91556e-05,5.91556e-05,5.91556e-05
27,778.572,0.68311,0.81684,2.14585,0.58446,0.66947,0.66428,0.49221,2.78618,2.7697,3.29407,5.88215e-05,5.88215e-05,5.88215e-05
28,806.369,0.70895,0.86854,2.17256,0.7744,0.62437,0.70516,0.52101,2.55199,2.44445,3.11721,5.84873e-05,5.84873e-05,5.84873e-05
29,833.861,0.67112,0.79976,2.13251,0.62676,0.70544,0.69027,0.48851,2.97333,2.66373,3.55167,5.81531e-05,5.81531e-05,5.81531e-05
30,861.308,0.68538,0.81516,2.1627,0.70255,0.62643,0.72074,0.49845,3.08382,2.42535,3.54518,5.78189e-05,5.78189e-05,5.78189e-05
31,888.83,0.66231,0.75468,2.13778,0.56279,0.66059,0.61222,0.45061,2.61266,3.75112,3.14471,5.74848e-05,5.74848e-05,5.74848e-05
32,916.268,0.65206,0.78864,2.12282,0.70446,0.59592,0.66699,0.46706,2.77684,2.58117,3.34052,5.71506e-05,5.71506e-05,5.71506e-05
33,943.992,0.66086,0.77814,2.14298,0.72485,0.63438,0.70082,0.49567,2.64443,2.38973,3.17838,5.68164e-05,5.68164e-05,5.68164e-05
34,971.588,0.65414,0.80239,2.13719,0.67822,0.68755,0.67879,0.45504,3.23774,2.62874,3.77183,5.64822e-05,5.64822e-05,5.64822e-05
35,999.041,0.65168,0.76593,2.11126,0.66005,0.69475,0.70195,0.49614,2.82228,2.477,3.35366,5.61481e-05,5.61481e-05,5.61481e-05
36,1026.35,0.67852,0.74708,2.13549,0.68103,0.66891,0.70288,0.49484,2.71322,2.59663,3.36773,5.58139e-05,5.58139e-05,5.58139e-05
37,1053.73,0.66702,0.77133,2.11732,0.57113,0.69008,0.6721,0.51151,2.38699,2.48596,3.01199,5.54797e-05,5.54797e-05,5.54797e-05
38,1081.16,0.67934,0.76299,2.1528,0.6362,0.66381,0.68521,0.52981,2.32395,2.68364,2.95987,5.51455e-05,5.51455e-05,5.51455e-05
39,1108.88,0.63064,0.73493,2.1005,0.70355,0.65827,0.68361,0.48303,2.607,2.70481,3.21641,5.48114e-05,5.48114e-05,5.48114e-05
40,1136.45,0.63968,0.7524,2.1179,0.6073,0.65964,0.68512,0.52698,2.33724,2.39887,2.98864,5.44772e-05,5.44772e-05,5.44772e-05
41,1163.92,0.63943,0.73239,2.11624,0.62553,0.71176,0.69217,0.53541,2.36753,2.3361,2.93078,5.4143e-05,5.4143e-05,5.4143e-05
42,1191.69,0.65205,0.71806,2.12556,0.55123,0.77259,0.70055,0.53174,2.42442,2.28182,3.01612,5.38088e-05,5.38088e-05,5.38088e-05
43,1219.08,0.62687,0.73336,2.11603,0.58052,0.69694,0.68047,0.52487,2.38857,2.45036,2.97539,5.34747e-05,5.34747e-05,5.34747e-05
44,1246.53,0.62506,0.75878,2.12894,0.65557,0.69865,0.73289,0.55797,2.35578,2.37782,2.94167,5.31405e-05,5.31405e-05,5.31405e-05
45,1274.12,0.62565,0.72127,2.11789,0.74074,0.66448,0.76161,0.54664,2.51451,2.38484,3.12855,5.28063e-05,5.28063e-05,5.28063e-05
46,1301.8,0.66005,0.73312,2.13626,0.63167,0.72557,0.71961,0.52427,2.64621,2.33264,3.21812,5.24721e-05,5.24721e-05,5.24721e-05
47,1329.23,0.63412,0.71769,2.12288,0.68706,0.60338,0.70481,0.51628,2.4769,2.60116,3.13759,5.2138e-05,5.2138e-05,5.2138e-05
48,1356.73,0.63886,0.75342,2.13205,0.61976,0.74072,0.71556,0.51446,2.48854,2.38729,3.18631,5.18038e-05,5.18038e-05,5.18038e-05
49,1384.09,0.62766,0.72054,2.10833,0.68225,0.73001,0.71068,0.53015,2.51219,2.2221,3.14533,5.14696e-05,5.14696e-05,5.14696e-05
50,1411.57,0.62166,0.7253,2.10689,0.63928,0.66704,0.71914,0.52483,2.76342,2.53162,3.39577,5.11354e-05,5.11354e-05,5.11354e-05
51,1438.94,0.62059,0.72808,2.10501,0.70304,0.62771,0.72347,0.53957,2.42231,2.37544,3.08557,5.08013e-05,5.08013e-05,5.08013e-05
52,1466.49,0.597,0.72137,2.09523,0.63666,0.73729,0.72739,0.5467,2.39926,2.22362,3.0596,5.04671e-05,5.04671e-05,5.04671e-05
53,1494.05,0.64322,0.71746,2.13335,0.64978,0.65394,0.68636,0.52264,2.334,2.45498,3.03444,5.01329e-05,5.01329e-05,5.01329e-05
54,1521.63,0.61299,0.70115,2.10424,0.57376,0.7641,0.69124,0.54166,2.29121,2.38772,2.95987,4.97988e-05,4.97988e-05,4.97988e-05
55,1549.07,0.60426,0.69218,2.09178,0.65926,0.66831,0.69224,0.52098,2.31315,2.51102,3.11149,4.94646e-05,4.94646e-05,4.94646e-05
56,1576.73,0.6318,0.72005,2.11087,0.68078,0.69508,0.75301,0.58068,2.24287,2.13684,2.94343,4.91304e-05,4.91304e-05,4.91304e-05
57,1604.79,0.62307,0.71518,2.12179,0.73655,0.65341,0.72172,0.52635,2.67099,2.35082,3.23651,4.87962e-05,4.87962e-05,4.87962e-05
58,1632.41,0.5961,0.70626,2.0997,0.67549,0.72254,0.74699,0.5768,2.2325,2.13371,2.8724,4.84621e-05,4.84621e-05,4.84621e-05
59,1660.14,0.58916,0.68462,2.09732,0.74108,0.70547,0.73802,0.56154,2.44322,2.26266,3.02035,4.81279e-05,4.81279e-05,4.81279e-05
60,1687.76,0.59161,0.68717,2.08805,0.65839,0.67973,0.69362,0.5438,2.31268,2.2696,2.93804,4.77937e-05,4.77937e-05,4.77937e-05
61,1715.37,0.59818,0.68278,2.09143,0.56811,0.6467,0.64372,0.48332,2.68662,2.76335,3.2706,4.74595e-05,4.74595e-05,4.74595e-05
62,1743.06,0.62336,0.68392,2.11796,0.65474,0.72832,0.71629,0.53282,2.47776,2.30736,3.0912,4.71254e-05,4.71254e-05,4.71254e-05
63,1770.58,0.62715,0.70375,2.12649,0.6776,0.75336,0.75829,0.5739,2.43063,2.30701,3.03923,4.67912e-05,4.67912e-05,4.67912e-05
64,1798.05,0.60136,0.68801,2.09953,0.69351,0.69041,0.71796,0.54769,2.47785,2.37878,3.09936,4.6457e-05,4.6457e-05,4.6457e-05
