epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.9012,1.58559,3.23193,2.92795,0.73394,0.25,0.15243,0.12895,3.86549,9.5969,4.58294,0.0672453,3.93103e-06,3.93103e-06
2,97.838,1.04383,1.49243,2.40431,0.24443,0.39303,0.22539,0.17737,3.15966,5.88467,3.88419,0.0339159,7.89178e-06,7.89178e-06
3,123.776,0.91674,1.33437,2.33319,0.29476,0.4885,0.35073,0.28574,2.95651,5.17011,3.64478,0.000586526,1.18129e-05,1.18129e-05
4,149.855,0.82579,1.20911,2.26844,0.39946,0.48686,0.44003,0.35403,2.9516,4.24543,3.58368,1.18218e-05,1.18218e-05,1.18218e-05
5,175.464,0.8309,1.23488,2.27877,0.50849,0.42941,0.44524,0.34119,2.86115,3.76096,3.51011,1.17624e-05,1.17624e-05,1.17624e-05
6,201.149,0.77635,1.10899,2.22771,0.36843,0.57081,0.48015,0.37264,2.75378,3.74746,3.42013,1.1703e-05,1.1703e-05,1.1703e-05
7,227.349,0.81237,1.11812,2.25326,0.40684,0.64101,0.5163,0.38582,2.81949,3.64219,3.48247,1.16436e-05,1.16436e-05,1.16436e-05
8,253.359,0.77178,1.0621,2.21169,0.44893,0.57407,0.54259,0.40921,2.78479,3.48938,3.46594,1.15842e-05,1.15842e-05,1.15842e-05
9,279.649,0.78074,1.06278,2.23164,0.46531,0.60976,0.52783,0.40267,2.88413,3.42103,3.53581,1.15248e-05,1.15248e-05,1.15248e-05
10,305.809,0.77815,1.06617,2.21363,0.40828,0.62065,0.54429,0.40877,2.89605,3.34261,3.4782,1.14654e-05,1.14654e-05,1.14654e-05
11,332.085,0.74054,1.01571,2.20947,0.51616,0.54022,0.53965,0.3888,2.94918,3.59516,3.54084,1.1406e-05,1.1406e-05,1.1406e-05
12,358.149,0.73906,0.99327,2.18052,0.46067,0.63927,0.55828,0.40746,2.93469,3.39528,3.57156,1.13466e-05,1.13466e-05,1.13466e-05
13,384.423,0.71847,0.96609,2.19077,0.50895,0.61068,0.57546,0.41153,2.98127,3.3736,3.57254,1.12872e-05,1.12872e-05,1.12872e-05
14,410.575,0.71755,0.96933,2.17012,0.41915,0.61129,0.54621,0.40801,2.98391,3.30207,3.52242,1.12278e-05,1.12278e-05,1.12278e-05
15,436.387,0.70777,0.92316,2.16446,0.55967,0.56741,0.55803,0.42409,2.79439,3.20455,3.41185,1.11684e-05,1.11684e-05,1.11684e-05
16,462.686,0.70205,0.90415,2.16092,0.577,0.53455,0.58188,0.44905,2.75851,3.07531,3.3946,1.1109e-05,1.1109e-05,1.1109e-05
17,488.854,0.6993,0.89689,2.16073,0.53043,0.60861,0.58215,0.41934,2.94597,3.20033,3.55455,1.10496e-05,1.10496e-05,1.10496e-05
18,514.832,0.68163,0.90279,2.16017,0.62576,0.5791,0.59104,0.44112,2.77393,3.24849,3.40328,1.09902e-05,1.09902e-05,1.09902e-05
19,541.152,0.70284,0.92564,2.17801,0.52407,0.67516,0.6192,0.43749,2.82151,3.01374,3.37955,1.09308e-05,1.09308e-05,1.09308e-05
20,567.572,0.69203,0.89081,2.16666,0.61001,0.6119,0.58559,0.42842,2.84236,3.00071,3.3944,1.08714e-05,1.08714e-05,1.08714e-05
21,593.777,0.64585,0.85919,2.12008,0.55574,0.5644,0.56167,0.41701,2.7653,3.0876,3.35722,1.0812e-05,1.0812e-05,1.0812e-05
22,619.966,0.65635,0.87905,2.14519,0.49243,0.58673,0.56833,0.42409,2.73989,2.97901,3.34256,1.07526e-05,1.07526e-05,1.07526e-05
23,646.047,0.66699,0.88747,2.14302,0.58853,0.58323,0.59349,0.44945,2.68422,2.99792,3.30698,1.06932e-05,1.06932e-05,1.06932e-05
