epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.5789,1.96565,7.16912,3.41167,0.00019,0.33333,0.02738,0.0261,3.62353,9.59555,5.09824,0.0705172,0.00327586,0.00327586
2,81.8807,1.46627,3.74209,2.8538,0.68964,0.03835,0.02289,0.00937,3.87009,8.89308,4.89483,0.0404845,0.00657648,0.00657648
3,97.2562,1.48697,3.04527,2.81283,0.69301,0.06667,0.01676,0.00984,3.94089,9.48444,5.11537,0.0104188,0.0098441,0.0098441
4,112.592,1.47695,2.71911,2.76951,0.77541,0.13333,0.12242,0.11194,3.69276,8.78726,5.88433,0.0098515,0.0098515,0.0098515
5,127.69,1.4677,2.57016,2.78094,0.38337,0.21693,0.07358,0.05121,3.90562,9.12972,5.42133,0.009802,0.009802,0.009802
6,143.151,1.43849,2.31339,2.76386,0.43666,0.21667,0.19497,0.13166,4.0448,10.6319,6.10205,0.0097525,0.0097525,0.0097525
7,158.485,1.3938,2.16497,2.69739,0.23274,0.3367,0.18953,0.15239,3.73646,9.10208,5.27114,0.009703,0.009703,0.009703
8,173.891,1.32315,1.99604,2.62957,0.19259,0.22012,0.10272,0.05475,3.59203,6.8929,4.6971,0.0096535,0.0096535,0.0096535
9,189.377,1.30562,1.89859,2.60598,0.2363,0.3116,0.23647,0.18788,3.68261,6.55941,5.09322,0.009604,0.009604,0.009604
10,204.924,1.27096,1.82567,2.58356,0.81865,0.21667,0.2159,0.17205,3.5398,7.69573,4.88271,0.0095545,0.0095545,0.0095545
11,220.285,1.24601,1.76335,2.57616,0.27522,0.22833,0.18023,0.13152,3.43377,7.635,4.71231,0.009505,0.009505,0.009505
12,235.785,1.21786,1.69477,2.54302,0.75367,0.18159,0.2525,0.2219,3.44447,7.80302,4.68403,0.0094555,0.0094555,0.0094555
13,251.29,1.22752,1.62839,2.55351,0.62017,0.25011,0.25244,0.15836,3.67136,6.0342,4.69954,0.009406,0.009406,0.009406
14,266.728,1.18803,1.58776,2.5065,0.8388,0.21667,0.27991,0.18825,3.56475,5.72927,4.87279,0.0093565,0.0093565,0.0093565
15,282.138,1.18695,1.57707,2.50048,0.5102,0.43781,0.26135,0.1953,3.60624,6.22865,4.86874,0.009307,0.009307,0.009307
16,297.71,1.1802,1.50811,2.51967,0.83431,0.28333,0.33782,0.28644,3.51953,6.66809,4.90425,0.0092575,0.0092575,0.0092575
