epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.9535,1.72093,3.69054,3.10583,0.39316,0.2,0.16883,0.13609,3.92718,8.13493,5.07061,0.0672263,0.0002698,0.0002698
2,98.4355,1.47793,2.26333,2.81722,0.22563,0.35555,0.16186,0.11636,4.07622,7.77968,5.24168,0.0341625,0.000539284,0.000539284
3,118.997,1.49349,2.1568,2.81555,0.74725,0.35307,0.16019,0.116,3.81234,6.783,4.96128,0.00109593,0.000806073,0.000806073
4,139.603,1.39037,1.96446,2.73838,0.73497,0.28333,0.15974,0.12591,4.01013,8.69079,5.25175,0.000804375,0.000804375,0.000804375
5,160.088,1.37878,1.91488,2.71989,0.57959,0.32425,0.20497,0.1666,4.02994,7.61292,5.02203,0.000800333,0.000800333,0.000800333
6,180.476,1.3224,1.81481,2.68834,0.72853,0.29826,0.25863,0.21558,3.63711,6.85187,4.75798,0.000796292,0.000796292,0.000796292
7,200.71,1.24553,1.74829,2.60842,0.68856,0.36509,0.31455,0.26179,3.38272,5.88699,4.62977,0.00079225,0.00079225,0.00079225
8,221.255,1.21638,1.60202,2.5895,0.77871,0.26667,0.16355,0.13311,4.12713,7.58115,5.06954,0.000788208,0.000788208,0.000788208
9,241.538,1.17047,1.59808,2.52756,0.63628,0.36791,0.31326,0.25766,3.36348,4.89418,4.3194,0.000784167,0.000784167,0.000784167
10,261.941,1.20373,1.5905,2.5771,0.30045,0.33421,0.26031,0.16784,3.49423,5.33497,4.43379,0.000780125,0.000780125,0.000780125
11,282.422,1.16524,1.57168,2.54368,0.68182,0.35004,0.2055,0.16626,3.55278,6.85883,4.50804,0.000776083,0.000776083,0.000776083
12,302.941,1.14781,1.51755,2.5361,0.26793,0.4032,0.29858,0.24662,3.31389,4.71583,4.36027,0.000772042,0.000772042,0.000772042
13,323.642,1.09634,1.47319,2.50518,0.33693,0.42752,0.34294,0.27518,3.50794,4.71857,4.27052,0.000768,0.000768,0.000768
14,344.241,1.07864,1.4332,2.45894,0.52014,0.28607,0.22237,0.09889,3.67444,5.31268,4.65724,0.000763958,0.000763958,0.000763958
15,364.855,1.06829,1.39015,2.46498,0.27368,0.41563,0.32307,0.24986,3.92396,5.81055,4.6633,0.000759917,0.000759917,0.000759917
16,385.46,1.0388,1.38762,2.4301,0.47842,0.40367,0.36267,0.26337,3.40078,4.90464,4.25452,0.000755875,0.000755875,0.000755875
17,405.973,1.02279,1.36199,2.42543,0.64756,0.38632,0.3346,0.24846,3.50127,4.84198,4.30095,0.000751833,0.000751833,0.000751833
18,426.722,1.01179,1.35086,2.41226,0.39483,0.44228,0.35466,0.26041,3.26039,4.52608,4.19449,0.000747792,0.000747792,0.000747792
19,447.173,1.07299,1.40104,2.48477,0.1918,0.44776,0.28619,0.22559,3.64461,5.50363,4.69434,0.00074375,0.00074375,0.00074375
20,467.594,1.02445,1.36188,2.42949,0.4376,0.40216,0.27183,0.19176,3.60678,5.73055,4.43546,0.000739708,0.000739708,0.000739708
21,487.981,0.97186,1.2979,2.37653,0.25907,0.43487,0.35783,0.29664,3.30394,5.18417,4.24731,0.000735667,0.000735667,0.000735667
22,508.612,0.98174,1.33083,2.39648,0.32864,0.44239,0.3541,0.25265,3.37226,4.57669,4.04503,0.000731625,0.000731625,0.000731625
23,529.149,0.97289,1.30673,2.37856,0.50488,0.45818,0.44756,0.35904,3.33854,4.18205,4.08361,0.000727583,0.000727583,0.000727583
24,549.805,0.98847,1.28636,2.40259,0.38997,0.48877,0.45436,0.34646,3.36559,4.49869,4.17606,0.000723541,0.000723541,0.000723541
25,570.075,0.96459,1.28696,2.37255,0.62488,0.38955,0.38491,0.33009,3.16513,4.57873,4.00682,0.0007195,0.0007195,0.0007195
26,590.622,0.94208,1.28284,2.35858,0.69371,0.33433,0.38042,0.2702,3.27295,4.09625,4.00615,0.000715458,0.000715458,0.000715458
