epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.7855,2.41801,9.45803,3.76946,0.67147,0.25323,0.08571,0.0726,3.18949,7.23256,4.13749,0.0685571,0.00160063,0.00160063
2,114.596,1.56015,2.51337,3.00627,0.78848,0.16667,0.21349,0.17772,3.18115,5.71043,4.01078,0.0368226,0.00319938,0.00319938
3,139.446,1.37861,2.05508,2.80494,0.68796,0.25995,0.24072,0.21176,3.08262,5.27462,3.97715,0.005072,0.00478214,0.00478214
4,164.565,1.20795,1.72383,2.62077,0.38963,0.47136,0.3586,0.27584,3.39314,4.46063,4.04908,0.00477207,0.00477207,0.00477207
5,189.599,1.16186,1.62583,2.57923,0.42277,0.47923,0.38687,0.2889,3.19316,4.23768,3.83799,0.00474809,0.00474809,0.00474809
6,214.799,1.12738,1.45402,2.55193,0.75316,0.37484,0.4234,0.30754,3.28263,4.13838,3.99511,0.00472411,0.00472411,0.00472411
7,239.862,1.04265,1.41597,2.46223,0.75589,0.46306,0.46432,0.35151,3.12798,3.74222,3.76194,0.00470013,0.00470013,0.00470013
8,265.248,1.03824,1.28971,2.44501,0.50868,0.55452,0.56206,0.39032,3.34642,3.48131,3.78564,0.00467616,0.00467616,0.00467616
9,290.443,1.02544,1.26451,2.41913,0.5981,0.58408,0.57675,0.38657,3.50023,3.54502,4.05047,0.00465218,0.00465218,0.00465218
10,315.776,1.01929,1.26901,2.43191,0.43747,0.57752,0.51976,0.3824,3.35007,4.05741,3.8776,0.0046282,0.0046282,0.0046282
11,340.963,0.97904,1.25472,2.3936,0.42032,0.56499,0.50102,0.35449,3.23426,4.3586,3.74152,0.00460422,0.00460422,0.00460422
12,366.029,0.99646,1.18914,2.41315,0.56686,0.56763,0.55767,0.38064,3.45857,3.35638,3.81013,0.00458024,0.00458024,0.00458024
13,391.157,0.96235,1.18047,2.39163,0.64369,0.55538,0.60804,0.37601,3.6227,3.45721,4.00705,0.00455627,0.00455627,0.00455627
14,416.264,0.95326,1.13458,2.365,0.55852,0.54764,0.57241,0.40016,3.45858,3.26438,3.72794,0.00453229,0.00453229,0.00453229
