epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.157,1.48338,2.33167,2.79721,0.52557,0.37313,0.16121,0.12652,3.44512,7.51816,4.30124,0.0668839,7.22843e-05,7.22843e-05
2,190.159,1.26213,1.66494,2.53662,0.24869,0.42382,0.2711,0.20034,3.49585,5.90986,4.23654,0.0336224,0.000144167,0.000144167
3,253.805,1.26529,1.57763,2.5403,0.66658,0.40898,0.38866,0.28388,3.26324,5.16131,3.89969,0.000360259,0.000215331,0.000215331
4,318.138,1.19279,1.52044,2.46572,0.84744,0.1976,0.35619,0.25877,3.26577,7.178,3.81657,0.000214566,0.000214566,0.000214566
5,380.953,1.18896,1.47773,2.47038,0.6479,0.50746,0.43056,0.33445,3.17203,4.63223,3.82015,0.000213488,0.000213488,0.000213488
6,444.706,1.13556,1.35414,2.43837,0.41466,0.50336,0.4266,0.32712,3.26188,4.24563,3.8517,0.000212409,0.000212409,0.000212409
7,507.654,1.10405,1.32041,2.39184,0.70902,0.50353,0.45342,0.36654,2.86801,4.67537,3.60513,0.000211331,0.000211331,0.000211331
8,571.303,1.03631,1.24598,2.34468,0.28446,0.56001,0.42295,0.30186,3.44736,4.68704,4.13225,0.000210253,0.000210253,0.000210253
9,635.092,1.03848,1.24236,2.34872,0.44935,0.5683,0.49971,0.38278,3.1793,4.36839,3.80243,0.000209175,0.000209175,0.000209175
10,698.483,1.03475,1.26129,2.3524,0.3846,0.57285,0.49739,0.36398,3.07443,3.93922,3.7424,0.000208097,0.000208097,0.000208097
11,761.067,1.00945,1.2519,2.34085,0.75044,0.46244,0.45335,0.319,3.09187,4.23439,3.86349,0.000207019,0.000207019,0.000207019
12,824.136,1.04928,1.20483,2.36227,0.38729,0.51244,0.4661,0.37101,2.9162,4.64794,3.63112,0.000205941,0.000205941,0.000205941
13,887.908,0.96575,1.14171,2.31411,0.43841,0.67285,0.49269,0.33702,3.47677,3.97603,4.2531,0.000204863,0.000204863,0.000204863
14,951.028,0.91407,1.08731,2.28184,0.38803,0.59935,0.49145,0.3589,2.85586,3.73795,3.63581,0.000203785,0.000203785,0.000203785
15,1014.09,0.90876,1.07477,2.26971,0.79037,0.405,0.42469,0.29504,3.40671,4.33808,4.0726,0.000202706,0.000202706,0.000202706
16,1077.19,0.8834,1.06175,2.24673,0.5244,0.61023,0.52264,0.36604,3.05128,3.37937,3.76896,0.000201628,0.000201628,0.000201628
17,1141.27,0.90198,1.06285,2.25313,0.54484,0.49858,0.47838,0.34181,3.0727,4.01853,3.92681,0.00020055,0.00020055,0.00020055
18,1205.02,0.89181,1.02699,2.2665,0.56804,0.55884,0.52704,0.35227,3.31358,3.35704,4.05684,0.000199472,0.000199472,0.000199472
19,1268.67,0.8937,1.06636,2.27129,0.538,0.6234,0.55819,0.38361,3.19673,3.49662,3.79662,0.000198394,0.000198394,0.000198394
20,1333,0.85987,1.02485,2.23629,0.42164,0.6474,0.56181,0.40067,3.07213,3.30822,3.8361,0.000197316,0.000197316,0.000197316
21,1396.87,0.83457,0.97799,2.20208,0.42511,0.6498,0.51559,0.38482,3.24886,3.6181,3.8332,0.000196238,0.000196238,0.000196238
